class-att,fix,hack,should,todo,workaround
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.856432,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,3.599928,0,0,0,0
1,0,0,0,0,3.854815
1,0,0,0,0,0
1,0,0,0,4.196174,0
1,0,0,0,0,0
1,3.599928,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.856432,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.856432,0,0
1,0,0,2.856432,0,0
1,0,0,0,0,0
1,0,0,2.856432,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.856432,0,3.854815
1,0,0,0,0,0
1,0,0,0,0,0
1,0,3.599928,0,0,0
1,0,0,0,0,0
1,0,0,2.856432,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,6.632431,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.856432,0,0
1,0,0,0,0,3.854815
1,0,0,2.856432,0,0
1,0,0,0,0,0
1,0,0,2.856432,0,0
1,0,0,0,0,3.854815
1,3.599928,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.856432,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.856432,0,0
1,0,0,2.856432,0,0
1,0,0,2.856432,0,0
1,0,0,0,0,0
1,0,3.599928,0,0,0
1,0,3.599928,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.856432,0,0
1,0,0,0,4.196174,0
1,0,0,0,4.196174,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.856432,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,3.854815
1,3.599928,0,0,0,0
1,0,3.599928,0,0,0
1,0,0,0,0,0
1,0,0,2.856432,0,0
1,0,0,0,0,0
1,0,0,0,0,3.854815
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,3.599928,0,0,0
1,0,0,2.856432,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,4.196174,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.856432,0,0
1,0,0,2.856432,0,0
1,0,0,0,0,0
1,0,0,2.856432,0,0
1,0,0,0,0,0
1,0,0,2.856432,0,0
1,3.599928,0,0,0,3.854815
1,0,3.599928,0,0,0
1,0,0,2.856432,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.856432,0,0
1,0,0,0,0,0
1,0,0,4.527338,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,3.599928,0,0,0
1,3.599928,0,0,0,0
1,0,3.599928,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,3.599928,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,3.599928,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,3.599928,0,0,0
1,0,0,0,0,3.854815
1,0,0,0,0,0
1,0,3.599928,0,0,0
1,0,3.599928,0,0,0
1,0,0,0,0,3.854815
1,3.599928,3.599928,0,0,0
1,0,3.599928,0,0,0
1,0,0,0,0,0
1,0,0,2.856432,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,3.854815
1,0,3.599928,0,0,0
1,0,0,0,0,0
1,3.599928,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.856432,0,0
1,3.599928,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.856432,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,3.599928,0,0,0
1,0,0,0,0,0
1,0,0,0,0,3.854815
1,0,0,0,0,0
1,0,3.599928,0,0,0
1,0,0,0,0,0
1,0,0,2.856432,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.856432,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,3.599928,0,0,0
1,0,0,0,0,0
1,3.599928,3.599928,0,0,0
1,0,0,2.856432,0,0
1,3.599928,3.599928,0,0,0
1,0,0,2.856432,0,0
1,0,3.599928,0,0,0
1,0,0,2.856432,0,0
1,0,0,2.856432,0,0
1,0,0,0,0,0
1,0,0,0,0,3.854815
1,0,0,0,0,3.854815
1,0,3.599928,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,3.599928,0,0,0
1,0,0,0,0,3.854815
1,0,0,2.856432,0,0
1,0,0,2.856432,0,0
1,0,0,2.856432,0,0
1,0,0,0,0,0
1,0,3.599928,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,3.854815
1,0,3.599928,0,0,0
1,0,0,2.856432,0,0
1,0,0,0,0,0
1,0,0,0,0,3.854815
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.856432,0,0
1,0,0,0,0,3.854815
1,0,0,4.527338,0,0
1,0,0,2.856432,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.856432,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,4.196174,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,4.196174,0
1,0,0,2.856432,0,0
1,0,0,0,0,0
1,0,0,0,4.196174,0
1,0,0,0,0,0
1,0,0,0,4.196174,0
1,0,0,0,4.196174,0
1,0,0,0,0,0
1,0,0,2.856432,4.196174,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
