1, JavaDoc, /*      * Chooses a new boolean value for the cell when its type is changing.<p>     *     * Usually the caller is calling setCellType() with the intention of calling     * setCellValue(boolean) straight afterwards.  This method only exists to give     * the cell a somewhat reasonable value until the setCellValue() call (if at all).     * TODO - perhaps a method like setCellTypeAndValue(int, Object) should be introduced to avoid this      */
1, Line, //  Complex file   TODO 
1, Line, //  Sometimes, the grpprl does not contain data at every offset. I have no idea why this happens. 
1, JavaDoc, /* @todo handle table sprms from complex files */
1, Line, //  FIXME (byte array properties not yet implemented): dsi.setDocparts(P_DOCPARTS); 
1, Line, //  FIXME (byte array properties not yet implemented): assertNull(dsi.getDocparts());   FIXME (byte array properties not yet implemented): assertNull(dsi.getHeadingPair()); 
1, Line, //  TODO clone some more properties ?  
1, Block, /*  TODO: handle rect path  */
1, Line, // TODO -- implement these as needed  BrtFileVersion(128), //file version 
1, Line, // TODO: depending on the formatId getDateTimeText() should return formatted date  assertEquals("08/12/08", notesHdd.getDateTimeText()); 
1, JavaDoc, /*  * Test Freeform object. * The Freeform shape is constructed from java.awt.GeneralPath. * Check that the get/set path accessors are consistent. * (TODO: verification of Bezier curves is more difficult due to rounding error.  Figure out a test approach for that) * * @author Yegor Kozlov  */
1, Line, //  TODO: Can these ever have formatting on them? 
1, Line, //  "A .. B" not valid syntax for "A:B"   and there's no other valid expression that fits this grammar 
1, Line, //  PDXNAN(0x006F,0x0C65,"PDXnan"), // invalid combo 
1, Line, //  Copy merged regions that are fully contained on the row   FIXME: is this something that rowShifter could be doing? 
1, JavaDoc, /* @todo handle large PAPX from data stream */
1, Block, /*  TODO update body element, update xwpf element, verify that         * incoming paragraph belongs to this document or if not, XML was         * copied properly (namespace-abbreviations, etc.)          */
1, JavaDoc, /*  *	Test to see if Range.insertBefore() works even if the Range contains a *	CharacterRun that uses Unicode characters. * * TODO - re-enable me when unicode paragraph stuff is fixed!  */
1, Line, //  Some files seem to lie about their unicode status, which      is very very pesky. Try to work around these, but this 
1, Line, //  TODO - check the formula once tables and    arrays are properly supported 
1, Line, //  TODO: handle LCID codes 
1, Line, //  TODO: use new properties 
1, Line, //  TODO Update this to expose first and last sheet indexes 
1, Line, //  We get an error when we parse [Content_Types].xml   because it's not a valid URI. 
1, Line, //  TODO Work out how to report this, given we can't change the method signature... 
1, JavaDoc, /*  * TODO: document me *  * @author Sergey Vladimirov (vlsergey {at} gmail {dot} com)  */
1, Line, //  FIXME: is this something that rowShifter could be doing? 
1, Line, // TODO: default "autobreaks" is different in HSSF and XSSF 
1, Line, //  We need a new CTXf for the main styles   TODO decide on a style ctxf 
1, Line, // TODO: implement more dashing styles 
1, Block, /*          * HACK: Detect compressed images. In reality there should be some way         * to determine this from the first 32 bytes, but I can't see any         * similarity between all the samples I have obtained, nor any         * similarity in the data block contents.          */
1, Line, //  TODO: handle palette colors and alpha(?) value 
1, Line, //  TODO: check size   TODO: check size   TODO: check size 
1, Line, //       assertRefPtgA1('V', getPtgs(cell), 6); // FIXME! 
1, Line, //  Excel's # with value 0 will output empty where Java will output 0. This hack removes the # from the format. 
1, Line, //  Todo - check text too, once bug fixed 
1, Line, //  TODO: check if we can break here, i.e. if a page can have more than 1 break on the same id 
