TP, FN, FP, TN, P    , R    , F1   , ER   , RI
9, 93, 2, 2948, 0.818, 0.088, 0.159, 0.959, 23.481
13, 956, 2, 4455, 0.867, 0.013, 0.026, 0.794, 3.853
9, 119, 1, 3961, 0.900, 0.070, 0.130, 0.965, 27.758
4, 70, 1, 2510, 0.800, 0.054, 0.101, 0.964, 26.946
25, 352, 1, 2114, 0.962, 0.066, 0.124, 0.843, 5.356
36, 159, 5, 4444, 0.878, 0.185, 0.305, 0.952, 19.911
5, 96, 0, 2393, 1.000, 0.050, 0.094, 0.960, 23.693
12, 270, 3, 3863, 0.800, 0.043, 0.081, 0.915, 10.767
20, 363, 4, 3265, 0.833, 0.052, 0.098, 0.874, 6.946
7, 194, 4, 4268, 0.636, 0.035, 0.066, 0.929, 13.161
4, 81, 0, 1564, 1.000, 0.047, 0.090, 0.948, 18.400
2, 319, 1, 3002, 0.667, 0.006, 0.012, 0.855, 5.903
8, 241, 6, 4180, 0.571, 0.032, 0.061, 0.902, 9.178
32, 1014, 24, 28270, 0.571, 0.031, 0.058, 0.938, 15.028
5, 131, 2, 1081, 0.714, 0.037, 0.070, 0.844, 5.402
12, 606, 12, 14403, 0.500, 0.019, 0.037, 0.918, 11.163
2, 96, 0, 7614, 1.000, 0.020, 0.040, 0.987, 77.694
8, 84, 0, 3547, 1.000, 0.087, 0.160, 0.975, 38.554
15, 272, 8, 11923, 0.652, 0.052, 0.097, 0.964, 26.764
5, 58, 2, 2626, 0.714, 0.079, 0.143, 0.967, 29.510
