TP, FN, FP, TN, P    , R    , F1   , ER   , RI
43, 59, 21, 2929, 0.672, 0.422, 0.518, 0.950, 19.104
730, 239, 157, 4300, 0.823, 0.753, 0.787, 0.783, 3.608
105, 23, 14, 3948, 0.882, 0.820, 0.850, 0.965, 27.194
32, 42, 8, 2503, 0.800, 0.432, 0.561, 0.964, 26.946
259, 118, 28, 2087, 0.902, 0.687, 0.780, 0.832, 4.965
59, 136, 12, 4437, 0.831, 0.303, 0.444, 0.949, 18.790
77, 24, 37, 2356, 0.675, 0.762, 0.716, 0.940, 15.679
207, 75, 23, 3843, 0.900, 0.734, 0.809, 0.924, 12.238
320, 63, 41, 3228, 0.886, 0.836, 0.860, 0.882, 7.452
117, 84, 24, 4248, 0.830, 0.582, 0.684, 0.946, 17.466
58, 27, 22, 1542, 0.725, 0.682, 0.703, 0.929, 13.065
203, 118, 111, 2892, 0.646, 0.632, 0.639, 0.851, 5.695
194, 55, 84, 4102, 0.698, 0.779, 0.736, 0.920, 11.429
703, 343, 270, 28024, 0.723, 0.672, 0.696, 0.951, 19.266
85, 51, 36, 1047, 0.702, 0.625, 0.661, 0.841, 5.296
502, 116, 133, 14282, 0.791, 0.812, 0.801, 0.948, 18.230
66, 32, 50, 7564, 0.569, 0.673, 0.617, 0.978, 43.774
54, 38, 17, 3530, 0.761, 0.587, 0.663, 0.967, 29.084
177, 110, 95, 11836, 0.651, 0.617, 0.633, 0.964, 26.703
30, 33, 15, 2613, 0.667, 0.476, 0.556, 0.965, 27.476
