Training project, P, R, F1
Ant, 1.0, 1.0, 1.0
ArgoUML, 0.4264705882352941, 0.28431372549019607, 0.3411764705882353
Columba, 0.8, 0.19607843137254902, 0.31496062992125984
EMF, 0.7083333333333334, 0.16666666666666666, 0.2698412698412698
Hibernate, 0.43373493975903615, 0.35294117647058826, 0.3891891891891892
JEdit, 0.4166666666666667, 0.29411764705882354, 0.3448275862068966
JFreeChart, 0.3870967741935484, 0.23529411764705882, 0.29268292682926833
JMeter, 0.5952380952380952, 0.24509803921568626, 0.34722222222222215
JRuby, 0.7, 0.3431372549019608, 0.46052631578947373
SQuirrel, 0.5757575757575758, 0.18627450980392157, 0.2814814814814815
Dubbo, 0.4642857142857143, 0.12745098039215685, 0.19999999999999998
Gradle, 0.42105263157894735, 0.1568627450980392, 0.22857142857142856
Groovy, 0.6896551724137931, 0.19607843137254902, 0.3053435114503817
Hive, 0.5909090909090909, 0.2549019607843137, 0.35616438356164387
Maven, 0.4, 0.29411764705882354, 0.33898305084745767
Poi, 0.575, 0.22549019607843138, 0.323943661971831
SpringFramework, 0.5454545454545454, 0.058823529411764705, 0.10619469026548672
Storm, 0.625, 0.14705882352941177, 0.2380952380952381
Tomcat, 0.6744186046511628, 0.28431372549019607, 0.39999999999999997
Zookeeper, 0.6521739130434783, 0.14705882352941177, 0.24
