Training project, P, R, F1
Ant, 0.8135593220338984, 0.2506527415143603, 0.38323353293413176
ArgoUML, 0.771689497716895, 0.4412532637075718, 0.5614617940199336
Columba, 0.9230769230769231, 0.6892950391644909, 0.7892376681614349
EMF, 0.8609625668449198, 0.42036553524804177, 0.5649122807017545
Hibernate, 0.7972972972972973, 0.6161879895561357, 0.695139911634757
JEdit, 0.702020202020202, 0.3629242819843342, 0.47848537005163516
JFreeChart, 0.7834394904458599, 0.6422976501305483, 0.7058823529411765
JMeter, 0.8801652892561983, 0.556135770234987, 0.6816000000000001
JRuby, 0.9973958333333334, 1.0, 0.998696219035202
SQuirrel, 0.8333333333333334, 0.4699738903394256, 0.6010016694490818
Dubbo, 0.9112149532710281, 0.5091383812010444, 0.6532663316582915
Gradle, 0.8040540540540541, 0.31070496083550914, 0.44821092278719393
Groovy, 0.9138755980861244, 0.49869451697127937, 0.6452702702702703
Hive, 0.8989547038327527, 0.6736292428198434, 0.7701492537313432
Maven, 0.7522123893805309, 0.44386422976501305, 0.5582922824302134
Poi, 0.9032258064516129, 0.7310704960835509, 0.8080808080808081
SpringFramework, 0.875, 0.31070496083550914, 0.4585741811175337
Storm, 0.8802395209580839, 0.3838120104438642, 0.5345454545454545
Tomcat, 0.9066147859922179, 0.608355091383812, 0.7281250000000001
Zookeeper, 0.8587570621468926, 0.3968668407310705, 0.5428571428571429
