Training project, P, R, F1
Ant, 0.8402489626556017, 0.4179566563467492, 0.558235699517574
ArgoUML, 0.9979274611398964, 0.9938080495356038, 0.9958634953464323
Columba, 0.8412371134020619, 0.8421052631578947, 0.8416709644146466
EMF, 0.8300803673938002, 0.7461300309597523, 0.7858695652173913
Hibernate, 0.7953890489913544, 0.8544891640866873, 0.8238805970149254
JEdit, 0.8318739054290718, 0.49019607843137253, 0.6168831168831168
JFreeChart, 0.8055853920515574, 0.7739938080495357, 0.7894736842105263
JMeter, 0.8267634854771784, 0.8224974200206399, 0.8246249353336782
JRuby, 0.8271844660194175, 0.8792569659442725, 0.8524262131065533
SQuirrel, 0.8149568552253116, 0.8771929824561403, 0.8449304174950297
Dubbo, 0.8548951048951049, 0.5046439628482973, 0.6346528228423102
Gradle, 0.8417721518987342, 0.6862745098039216, 0.7561114269471291
Groovy, 0.8460508701472557, 0.6522187822497421, 0.7365967365967366
Hive, 0.8458864426419467, 0.7533539731682146, 0.796943231441048
Maven, 0.8186874304783093, 0.759545923632611, 0.7880085653104927
Poi, 0.8419354838709677, 0.8080495356037152, 0.8246445497630331
SpringFramework, 0.8420168067226891, 0.5170278637770898, 0.6406649616368287
Storm, 0.868995633187773, 0.6160990712074303, 0.7210144927536232
Tomcat, 0.8621659634317862, 0.6326109391124871, 0.7297619047619047
Zookeeper, 0.8496621621621622, 0.5190918472652218, 0.6444586803331198
