SATD	 implement string value according the jls value may anything beanshell well disallow void undefined values should map them the empty string 
SATD	 this should before dockables are initialized 
SATD	 this right 
SATD	 should this for both cases above 
SATD	 need loosen this any throwable need handle that interpreter somewhere check first 
SATD	 fucking gtk look and feel 
SATD	 note this implementation temporary currently keep flat namespace the base name classes beanshell cannot the process defining two classes different packages with the same base name remove this limitation requires that work through namespace imports analogous using the same path regular class import resolution this workaround should handle most cases well try for now 
SATD	 copy and paste from 
SATD	 wish could make this friendly only namespace 
SATD	 undocumented hack allow browser actions work xxx clean 
SATD	 look for default invoke handler method the namespace note this code duplicates that namespace getcommand that 
SATD	 this should per instance 
SATD	 can use the proxy mechanism cast bshthis the correct interface 
SATD	 redundant with constructor 
SATD	 issues resolve here which classloader should define the class there bshclassloader should define there should use reflection set nonbsh classloader there one should always create bsh classloader and expose its defineclass 
SATD	 could refactor these bit 
SATD	 note this class essentially just delegates most its methods its parent the setvariable indirection very small could probably fold this functionality back into the base namespace special case but this has changed few times like leave this abstraction for now 
SATD	 simplified these settings little 
SATD	 should check for strict java here and use isjavaassignable instead 
SATD	 workaround for swing rendering labels starting with html using the html engine 
SATD	 look for default invoke handler method the namespace note this code duplicates that thisjava should call this can never command 
SATD	 this method nightmare 
SATD	 consoleinterface the interpreter reflexively implements the console interface that uses should clean this using inner class implement the console for 
SATD	 caseinsensitive workaround 
SATD	 wrap nulls this bit cludge address deficiency the class generator whereby does not wrap nulls method delegate see class generatorjava fix that then can remove this just have generate the code there 
SATD	 switch eats multilevel break here not empty statement 
SATD	 check for field object note could eliminate throwing the exception somehow 
SATD	 xxxx reevaluate this can getsuper work itself now were class instance and the parent also class instance then super means our parent 
SATD	 wish protected access were limited children and not also package scope want this singleton implemented various children 
SATD	 imported full name wasnt found absolute class compound try resolve inner class maybe this should happen the bshclassmanager 
SATD	 cant this combined with run run seems have stuff for interactive noninteractive compare them side side and see what they differently aside from the exception handling 
SATD	 null value just declaration note might want keep any existing value here instead reset 
SATD	 can this factored out should adding the here instead 
SATD	 catch the mismatch and continue try the next note this innefficient should have isassignablefrom that doesnt throw 
SATD	 should use tryfinally here pop 
SATD	 note this could made clearer adding inner class for the cases and object context for the child traversal 
SATD	 hack sticking first interpreter that resolves this see comments type instance variable 
SATD	 note incorrect here are using the hack bsh class manager that allows lookup base name need eliminate this limitation working through imports see notes class manager 
SATD	 this the namespace which the method set backreference for the node which needs execute under this namespace not necessary declare this transient because can only saved part our namespace anyway currently 
SATD	 replace this cocoa api calls later 
SATD	 scripting classes currently requires accessibility this can eliminated with bit more work 
SATD	 this could static 
SATD	 thanks slava pestov jedit fame for import caching enhancements note this class has gotten too big should broken down bit 
SATD	 register attribute declaration for later retrieval format string type string default value int value type todo something with attribute types 
SATD	 todo get cast and boxing working byte the basetype wrapper type then need get the primitive type class for the base type here order for the cast allow then boxing will happen naturally the arrayset integer 
SATD	 note will move this behavior out subclass namespace but well start here 
SATD	 this particularly nasty bit code that checks for parameter entity reference but peeks ahead catch the parameter entity declarations 
SATD	 should cache this subject classloader change message evaluation the formal parameter simply resolves its type via the specified namespace doesnt modify the namespace 
SATD	 notes would not hard eliminate the use orgobjectwebasmtype from this class making the distribution tiny bit smaller 
SATD	 stupid caret will automatically incremented 
SATD	 spacing workaround 
SATD	 dont know any other way fix this since invoking this command from menu results the focus owner being the menu until the menu goes away 
SATD	 little hack for reverse replace and find 
SATD	 static methods that operate compound separated names guess could move these stringutil someday 
SATD	 note which these things should checked parse time run time 
SATD	 this part sucks 
SATD	 windows bug workaround case yesno confirm was shown 
SATD	 clear name resolvers dont know this necessary 
SATD	 this stupid and misleading but path not used anywhere except the above line and this done after the continue then will either hang forced duplicate inside the buffer null add finally clause you decide which ones worse 
SATD	 too tired think better way handle this right now 
SATD	 hacked bufferiorequest send vfsupdates case two stage save off now 
SATD	 some other primitive should avoid calling methods primitive name cant treat primitive like object message but the hole useful right now 
SATD	 change the parent which was the class static the class instance really need check were static inner class here first but for some reason java wont show the static modifier our fake inner classes could generate flag field 
SATD	 this where checked exceptions piss off this method only uses stringreader which can never throw exception 
SATD	 any subexpressions didnt terminate they dont count todo check this code ever gets hit 
SATD	 parse pattern into tokens does anyone know its more efficient use char than stringcharat assuming 
SATD	 note object only used here for precondition get rid 
SATD	 why both these 
SATD	 cut off from parent must have our own class manager cant this the run command needs resolve stuff should default when create namespace will parent class manager 
SATD	 note the bsh command code should probably not here need scope the namespace that imported the command probably needs integrated into namespace 
SATD	 this could smarter 
SATD	 was explicitly imported but dont know what should throw error here 
SATD	 note need form eval that passes the callstack through 
SATD	 primary interpreter set and get variable methods note these are squeltching errors should they 
SATD	 workaround for jdk bug where systeminavailable returns too large value this bug has been fixed jdk 
SATD	 somewhat hack the special fields are visible were operating relative this type already dissallow further this references prevent user from skipping things like superthiscaller 
SATD	 should clean this single return statement 
SATD	 implementation notes note may need some synchronization here note version dependency this base class jdk compatible however are forced use weak references the full featured implementation the optional bshclasspath package accomodate all the fleeting namespace listeners they fall out scope namespaces must informed the class space changes that they can uncache names perhaps simpler idea would have entities that reference cached types always perform light weight check with counter reference value and use that detect changes the namespace this puts the burden the consumer check appropriate times but could eliminate the need for the listener system many places and the necessity weak references this package 
SATD	 note this impor pattern becoming common could factor out into importedobject vector class 
SATD	 not sure should really recurse here for explicitly imported class parent 
SATD	 the following two boolean checks were tacked this could probably smoothed out 
SATD	 notes this broken finds public but less specific methods over nonpublic but more specific ones needs rewritten eliminate should implement the that uses the publiconly flag should also operate two passes give standard java assignable matches priority over extended bsh type matches 
SATD	 unixworkaround constructor 
SATD	 drag and drop support just move the code jedittextarea but depends jdk apis 
SATD	 next version remove this 
SATD	 compatibility kludge for jedit and earlier 
SATD	 stupid scrollbar policy attempt work around bugs people have been seeing with ibms jdk sep 
SATD	 this weird hack dont want insert the search bar the search bar has focus 
SATD	 aha this probably the only way fix this 
SATD	 this dirty hack and relies the fact that updates for parents are sent before updates for the changed nodes themselves this was not the case the browser wouldnt updated properly delete etc avoid causing request errors dont reload directory request already active 
SATD	 consume this work around the bug where atab window switching activates the menu bar windows 
SATD	 guess translated events not have the evt field set consuming wont work dont think this problem nothing uses translation anyway 
SATD	 this hack and really needs done better 
SATD	 copy and paste from resyntaxmatcher make syntax package independent jedit itself 
SATD	 stupidity 
SATD	 this doesnt seem very correct but fixes problem when setting the initial caret position for buffer from the recent file list 
SATD	 dont try this home 
SATD	 silly that reference the vertical scroll bar here directly this that the horizontal scroll bar flush with the vertical scroll bar 
SATD	 xxx clean this conditional 
SATD	 temporary hack support inner classes the obj nonstatic inner class then import the context this not sufficient emulation inner classes replace this later 
SATD	 workaround for swings annoying processing labels starting with html which often breaks 
SATD	 fucking gtk look and feel 
SATD	 hack that select all does not change current buffer 
SATD	 occurence occurs the beginning the selection the selection start will get moved this sucks hack avoid 
SATD	 silly bug workaround you look the above code note that restore the saved caret position first then scroll the saved location however the caret changing can itself result scrolling different location than what was saved and since movecaretposition calls the bracket highlights out bounds calculation will rely different set physical firstlast lines than what will end with eventually instead confusing the user with status messages that appear random when switching buffers simply hide the message altogether 
SATD	 this sloppy hack fix bug hitting return after collapsed fold the idea that extend the range then the problem described the bug happends the insert the very end the range dont extend instead push the insert into the next range however for this work properly also have mess with screen line counts 
SATD	 need this bullshit scroll bar policy for the preferred size hack work 
SATD	 xxx keep the createclassmanager getclassmanager then can axe this 
SATD	 note this class messy the method and field resolution need rewritten various methods here catch nosuchmethod nosuchfield exceptions during their searches these should rewritten avoid having catch the exceptions method lookups are now cached high level they are less important however the logic messy 
SATD	 the sooner ppl move the new api the less well need crap like this 
SATD	 nasty hardcoded values 
SATD	 xxx magic number 
SATD	 workaround for uncooperative windows 
SATD	 have this hack until vfspath class written 
SATD	 stupid swing 
SATD	 none the others are ever meant removed retarded this needs fixed eventually for plugins might want weird stuff jedits 
SATD	 this retarded excuse while drool and make stupid noises 
SATD	 retarded gtk look and feel 
SATD	 should probably error 
SATD	 there must better way fixing this the problem that this method can sometimes called result text area scroll event which case the caret position has not been updated yet 
SATD	 perhaps here would want guard with property for parallel backups not 
SATD	 this such bad way doing but well 
SATD	 while this might questionable some menus depend properties 
SATD	 get available screens this nasty but since arent dealling with many items should fine 
SATD	 methods that really shouldnt public 
SATD	 unixworkaround class 
SATD	 perhaps xerces wasnt slightly braindamaged would not need this 
SATD	 moved guiutilities makes sense being here 
SATD	 hack need more direct way obtaining view method 
SATD	 review how resolve this discrepancy 
SATD	 ugly workaround 
SATD	 windows work around 
SATD	 hack since helpviewer needs url 
SATD	 why object the args 
SATD	 should implement getminimumlength any ideas 
SATD	 move 
SATD	 they never taught you this undergrad computer science 
SATD	 should cache info not class case too 
SATD	 wtf 
SATD	 xxx hairy code that basically just functional port some other code barely understood 
SATD	 first try for accessible version the exact match this first lookup seems redundant with below but apparently needed this whole thing messy 
SATD	 work around for broken ftp plugin 
SATD	 hack move the spaces the front 
SATD	 this feels sloppy especially for nonus locales 
SATD	 hack get fixed length length field 
SATD	 have deal with assembly the programmer can writing little byte chunks for all know and must assemble complete records for writing review maybe this should tarbuffer could that help eliminate some the buffer copying 
SATD	 hack done fix bringing the window the front least windows frametofront doesnt cut remove the iswindows check its broken under other oses too 
SATD	 this method should rewritten use getfields and avoid catching exceptions during the search 
SATD	 hack 
SATD	 this should probably reflectjava 
SATD	 notes see notes this method should rolled into 
SATD	 note using signaturekey this way dangerous the pathological case user could eat memory caching every possible combination argument types untyped method maybe could smarter about ignoring the types untyped parameter positions the method resolver could return set hints for the signature key caching there also the overhead creating one these for every method dispatched what the alternative 
SATD	 crusty workaround 
SATD	 workaround for akeys producing garbage windows 
SATD	 addtofavorites which static method for convinience needs instance the vfs pass hence this hack 
SATD	 allow getthis work through blocknamespace the method namespace xxx reeval this need 
SATD	 these are used eliminate code duplication dont normally use the visitor template method pattern but this code was contributed peter cox and dont feel like changing around too much 
SATD	 fuck dead 
SATD	 stupid hack handle referencing rule set that defined later 
SATD	 jdk workaround 
SATD	 should the next two public maybe 
SATD	 note this method and should rewritten invert this logic that exceptions need caught unecessarily this just temporary impl return the field null not found 
SATD	 note need singleton here that things like this this work and probably good idea for speed caching single instance here seems technically incorrect considering the could different under some circumstances case child interpreter running source eval command however the effect just that the main interpreter that executes your script should the one involved callbacks from java not know there are corner cases where child interpreter would the first use this reference namespace that would even cause any problems did could some experiments find out and necessary could cache per interpreter basis had weak references might also look skipping over child interpreters and going the parent for the declaring interpreter wed sure get the top interpreter 
SATD	 resolve relative class type static field inner class 
SATD	 some regexps itself have length implement this hack you dont understand whats going here then back watching mtv 
