oracle, Pattern, NLP, TM, MAT, MAT_TM, MAT_NLP,Comments
1,0,1,1,1,1,1,// TODO turn into parameter?
1,0,1,1,1,1,1,// TODO: should this just call super()?
1,0,1,1,1,1,1,// TODO improve this
1,0,1,1,1,1,1,// TODO do contentType and/or dataEncoding belong in HTTPSampleResult instead?
1,0,1,1,1,1,1,// TODO - needs more work ...
1,0,0,1,0,1,1,// Maybe move to vector if MT problems occur
1,0,1,1,1,1,1,// TODO: This method doesn't appear to be used.
1,0,1,1,1,1,1,// TODO is this really necessary?
1,0,0,0,0,0,0,// Programming error: bail out.
1,0,1,1,1,1,1,// TODO should this throw an error?
1,0,0,0,0,0,0,// houston we have a problem !!
1,0,1,1,1,1,1,//TODO replace with proper Exception
1,0,1,1,1,1,1,// TODO - charset? // TODO this should really be request data, but there is none
1,0,1,1,1,1,1,// in milli-seconds // TODO: properties?
1,0,1,1,1,1,1,//TODO - move to JOrphanUtils?
1,0,0,0,0,0,0,// N.B. Needs to implement Visualizer so that TestBeanGUI can find the correct GUI class
1,0,0,0,0,0,0,// Can be null (not sure why)
1,0,1,1,1,1,1,//TODO implement other non-text types
1,0,1,1,1,1,1,// TODO this is not populated currently
1,0,1,1,1,1,1,// N.B. Needs to implement Visualizer so that TestBeanGUI can find the correct GUI class // TODO - remove UnsharedComponent ? Probably does not make sense for a TestBean.
1,0,1,1,1,1,1,// $NON-NLS-1$ // TODO - use a different format here?
1,0,0,0,0,0,0,// NOTUSED: long[] longSample = getSamples(); // load each node
1,0,0,0,0,0,0,//This can lead to code smell, meh! Do we care
1,0,1,1,1,1,1,// TODO is this ever used?
1,0,1,1,1,1,1,// TODO is this the best way to do this?
1,0,0,0,0,0,0,// All keys in messages.properties are lowercase (historical reasons?)
1,0,0,0,0,0,0,//NOT USED protected double[][] data = null;
1,0,1,1,1,1,1,//TODO do this more efficiently
1,0,1,1,1,1,1,// TODO - should this use setFirst() ?
1,0,1,1,1,1,1,"/*     *     * A Dom tree panel for to display response as tree view author <a     * href=""mailto:d.maung@mdl.com"">Dave Maung</a>      * TODO implement to find any nodes in the tree using TreePath.     *     */"
1,0,1,1,1,1,1,// TODO: Does this method need to be public? It isn't currently // called outside of this class.
1,0,1,0,0,0,0,"/*         * Does the system support UNC paths? If so, may need to fix them up         * later         */"
1,0,0,0,0,0,0,// Not used
1,0,1,1,1,1,1,// TODO should this be indeterminate? // TODO should this be indeterminate? //$NON-NLS-1$ //$NON-NLS-1$
1,1,1,1,1,1,1,// hack to skip processing
1,0,0,1,1,1,1,// TODO should we allow null for non-primitive types?
1,0,1,1,1,1,1,// TODO - not sure this is the best method
1,0,1,1,1,1,1,// TODO - is this needed?
1,0,1,1,1,1,1,// TODO - should we call start() and stop()?
1,0,1,1,1,1,1,// TODO: I believe the following code (to the end of the method) is // obsolete, // since NamePanel no longer seems to be the GUI for any component:
1,0,0,0,0,0,0,// Method is broken anyway
1,0,1,1,1,1,1,// TODO is this a sensible number? //$NON-NLS-1$
1,0,1,1,1,1,1,// TODO work out how to search the XML pane
1,0,1,1,1,1,1,// TODO is this sensible?
1,0,1,0,0,0,0,// Should we return fragment as text, rather than text of fragment?
1,0,1,1,0,1,1,"/*         * Not clear what can cause this ? conflicting versions perhaps         */"
1,0,1,1,1,1,1,//TODO replace with proper Exception // return with an error
1,0,0,1,1,1,1,//TODO: validate contentType for reasonable types?
1,0,1,1,1,1,1,"/*     * Mask values for TEST_TYPE TODO: remove either MATCH or CONTAINS - they     * are mutually exckusive     */"
1,0,1,1,1,1,1,// TODO ought to be a FileChooser ...
1,0,0,0,0,0,0,// Allow JMeter to render frames (and relative images) // Must be done after setContentType [Why?]
1,0,1,1,1,1,1,// TODO - is this used? (apart from test code)
1,0,1,1,1,1,1,// TODO: should this be clearData()?
1,0,1,1,1,1,1,"/**     * Provide a description of this timer class.     *     * TODO: Is this ever used? I can't remember where. Remove if it isn't --     * TODO: or obtain text from bean's displayName or shortDescription.     *     * @return the description of this timer class.     */"
1,0,1,1,1,1,1,"/*             * Provide dummy implementations to suppress download and display of             * related resources: - FRAMEs - IMAGEs TODO create better dummy             * displays TODO suppress LINK somehow             */"
1,0,1,1,1,1,1,// TODO should this be JTLSAVER? Only seems to be called by MonitorHealthVisualzer
1,0,1,1,1,1,1,// TODO: Make the running indicator its own class instead of a JButton
1,0,0,0,1,1,1,// If child of TransactionController is a ThroughputController and TPC does // not sample its children, then we will have this // TODO Should this be at warn level ?
1,0,1,1,1,1,1,// $NON-NLS-1$ // so it agrees with above // TODO perhaps should share code with __time() function for this... // $NON-NLS-1$ $NON-NLS-2$ // $NON-NLS-1$ $NON-NLS-2$
1,0,0,1,1,1,1,// Hack to allow automated tests to find when test has ended //transient boolean testEnded = false;
1,0,1,1,1,1,1,// TODO could these be done earlier (or just once?)
1,0,1,1,1,1,1,// Hack to resolve ModuleControllers in non GUI mode
1,0,1,1,1,1,1,// add a system property so samplers can check to see if JMeter // is running in NonGui mode // $NON-NLS-1$ // TODO - why does it create a new instance?
1,0,0,0,0,0,0,// Should we run a beanshell script on startup? // $NON-NLS-1$
1,1,0,0,1,1,1,"/*         * A little hack - add each listener to the start of the list - this         * ensures that the thread running the show is the first listener and         * can modify certain values before other listeners are called.         */"
1,0,1,1,1,1,1,// TODO: move this to components -- the only reason why it's in core is because // it's used as a guinea pig by a couple of tests.
1,0,0,1,1,1,1,// TODO this bit of code needs to be tidied up // Unfortunately ModuleController is in components, not core // Bug 47165
1,0,1,1,1,1,1,// TODO: This class looks a lot like ArgumentsPanel. What exactly is the // difference? Could they be combined? // Note: it seems that this class is not actually used ...
1,0,1,1,1,1,1,// TODO does not appear to be used
1,0,1,1,1,1,1,"/*         * Ensure that the sample variables are correctly initialised for each run.         * TODO is this the best way to do this? should it be done elsewhere ?         */"
1,0,0,0,0,0,0,"/*             * Add fix for Deadlocks, see:             *              * See https://issues.apache.org/bugzilla/show_bug.cgi?id=48350            */"
1,0,1,1,1,1,1,// Hack to allow external control
1,0,1,1,1,1,1,// TODO - why use space?
1,0,1,1,1,1,1,// TODO should this also clear isDynamic, rawParameters, permanentResults?
1,0,1,1,1,1,1,// TODO should level be more than debug ?
1,0,0,0,0,0,0,// This is effectively the same as saver.toXML(Object, Writer) except we get to provide the DataHolder // Don't know why there is no method for this in the XStream class
1,0,1,1,1,1,1,// TODO fix up for Nimbus LAF
1,0,1,1,1,1,1,"/** * FIXME Why is searchTF not getting focus correctly after having been setVisible(false) once */"
1,0,1,1,1,1,1,// MenuBar related methods // TODO: Do we really need to have all these menubar methods duplicated // here? Perhaps we can make the menu bar accessible through GuiPackage?
1,0,1,1,1,1,1,// Hack to get full modifier value
1,0,1,1,1,1,1,"/*     * TODO consider removing this method, and providing method wrappers instead.     * This would allow the Gui package to do any additional clearups if required,     * as has been done with clearTestPlan()    */"
1,0,0,0,0,0,0,//Maybe do nothing at all?
1,0,0,0,0,0,0,"/*     * NOTUSED private void initButtonMap() { }     */"
1,0,0,0,0,0,0,//avoid error in ant task tests (good way?)
1,0,0,0,0,0,0,// Does not appear to be used; called by MainFrame#setEditAddMenu() but that is not called
1,0,1,1,1,1,1,"/** * Aggregates sample results for use by the Statistical remote batch mode. * Samples are aggregated by the key defined by getKey(). * TODO: merge error count into parent class? */"
1,0,1,1,1,1,1,// TODO should errors be thrown back through RMI?
1,0,1,1,1,1,1,"/*                 * JMeterTreeNode and TestBeanGUI are special GUI classes, and                 * aren't intended to be added to menus                 *                 * TODO: find a better way of checking this                 */"
1,0,0,0,0,0,0,// not used
1,0,1,1,1,1,1,// TODO - perhaps save other items such as headers?
1,0,1,1,1,1,1,// TODO should class implement SampleListener?
1,0,1,1,1,1,1,// Settings; readResolve sets these from the server/client values as appropriate // TODO would be nice to make these final; not 100% sure volatile is needed as not changed after creation
1,0,0,0,0,0,0,// should the samples be aggregated on thread name or thread group (default) ?
1,0,0,0,0,0,0,// Make it easier to enter a tab (can use \<tab> but that is awkward)
1,0,1,1,1,1,1,// TODO turn into method?
1,0,0,0,0,0,0,// Does not appear to be used (yet)
1,0,1,1,1,1,1,//@GuardedBy("sampleStore") TODO perhaps use ConcurrentHashMap ?
1,0,1,1,1,1,1,//TODO clazz is probably always the same as testclass
1,0,1,1,1,1,1,// TODO - should this be restored?
1,0,1,1,1,1,1,//TODO provide proper name?
1,0,1,1,1,1,1,// TODO: does it matter that an empty line will terminate the loop? // CSV output files should never contain empty lines, so probably // not // If so, then need to check whether the reader is at EOF
1,0,0,1,1,1,1,"/*     * TODO - convert to work more like upgrade.properties/NameUpdater.java     *     * Special processing is carried out for the Header Class The String     * property TestElement.name is converted to Header.name for example:     * <elementProp name=""User-Agent""     * elementType=""org.apache.jmeter.protocol.http.control.Header""> <stringProp     * name=""Header.value"">Mozilla%2F4.0+%28compatible%3B+MSIE+5.5%3B+Windows+98%29</stringProp>     * <stringProp name=""TestElement.name"">User-Agent</stringProp>     * </elementProp> becomes <elementProp name=""User-Agent""     * elementType=""org.apache.jmeter.protocol.http.control.Header""> <stringProp     * name=""Header.value"">Mozilla%2F4.0+%28compatible%3B+MSIE+5.5%3B+Windows+98%29</stringProp>     * <stringProp name=""Header.name"">User-Agent</stringProp> </elementProp>     */"
1,1,1,1,1,1,1,"/*     * These must be set before reading/writing the XML. Rather a hack, but     * saves changing all the method calls to include an extra variable.     *     * AFAIK the variables should only be accessed from one thread, so no need to synchronize.     */"
1,0,1,1,1,1,1,// TODO: should this be restored?
1,0,1,1,1,1,1,// TODO: not used - make private?
1,0,1,1,1,1,1,// TODO appears to duplicate the threadName field in SampleResult
1,0,1,0,0,0,0,// Yuck: TIFFImageEncoder uses Error to report runtime problems
1,0,0,0,0,0,0,// a check, just in case:
1,0,1,1,1,1,1,// TODO is this the right thing to do?
1,0,1,1,1,1,1,// results.setResponseCode("???"); TODO what code should be set here?
1,0,1,1,1,1,1,// TODO should this implement supportsCustomEditor() ?
1,0,0,0,0,0,0,// Not used, as the <testResult> element is generated by the // ResultCollector class
1,0,1,1,1,1,1,"/**     * Check if a string is a valid JMeter 'expression'.     * <p>     * The current implementation is very basic: it just accepts any string     * containing ""${"" as a valid expression. TODO: improve, but keep returning     * true for ""${}"".     */"
1,0,1,1,1,1,1,// TODO - use or remove
1,0,1,0,1,1,1,// I guess this can happen as a result of a bad // file read? In this case, it would be better to replace the // incorrect value with anything valid, e.g. the default value // for the property. // But for the time being, I just prefer to be aware of any // problems occuring here, most likely programming errors, // so I'll bail out. // (MS Note) Can't bail out - newly create elements have blank // values and must get the defaults. // Also, when loading previous versions of jmeter test scripts, // some values // may not be right, and should get default values - MS // TODO: review this and possibly change to:
1,0,0,1,1,1,1,// TODO does not work yet; need to determine the sample type
1,0,0,0,0,0,0,// Temporary fix to allow default protocol to be changed
1,0,0,1,1,1,1,//TODO consider using private logs for each derived class
1,0,0,0,0,0,0,// Does not appear to be used yet
1,0,0,0,0,0,0,// Remember to change this when the class changes ...
1,1,1,1,1,1,1,// TODO temporary hack to avoid unnecessary bug reports for subclasses
1,0,1,1,1,1,1,// TODO - yet another ambiguous name - does it need changing? // See also: Clearable, JMeterGUIComponent
1,0,1,1,1,1,1,// TODO Is this silent exception intended
1,0,1,1,1,1,1,"/*     * The following variables are set by StandardJMeterEngine.     * This is done before start() is called, so the values will be published to the thread safely     * TODO - consider passing them to the constructor, so that they can be made final     * (to avoid adding lots of parameters, perhaps have a parameter wrapper object.     */"
1,0,1,1,1,1,1,// TODO should this set the thread names for all the subsamples? // might be more efficient than fetching the name elsewehere
1,0,0,0,0,0,0,"/*         * Setting SamplingStarted before the contollers are initialised allows         * them to access the running values of functions and variables (however         * it does not seem to help with the listeners)         */"
1,0,1,1,1,1,1,// TODO: remove this useless Entry parameter
1,0,1,1,1,1,1,// TODO fix this when there is a real implementation
1,0,0,1,1,1,1,// TODO only clear the relevant entry - if possible...
1,0,0,0,0,0,0,// Surely this is always null in the constructor?
1,0,1,1,1,1,1,// TODO why not use the super class value?
1,0,0,1,1,1,1,// TODO - does not appear to be called directly
1,0,1,1,1,1,1,"/** * Custom TrustManager ignores all certificate errors * * TODO: implement conditional checking and logging * * (Derived from AuthSSLX509TrustManager in HttpClient contrib directory) */"
1,0,1,1,1,1,1,// Maps to contain page and form encodings // TODO - do these really need to be shared between all Proxy instances?
1,0,0,0,0,0,0,// NOTE: Source and line arguments are nonsense in a call(). //       Any way to make these arguments *sensible?
1,0,0,0,0,0,0,// Is it an exception wrapped in a JavaScriptException?
1,0,1,1,1,1,1,// TODO Why empty block ?
1,0,1,1,1,1,1,// TODO - perhaps this should be a fatal error?
1,0,1,1,1,1,1,// clone will produce correct type // TODO but why do we need to clone the list?
1,0,1,1,1,1,1,// TODO only called by UserParameterXMLParser.getXMLParameters which is a deprecated class
1,0,1,1,1,1,1,// TODO probably not needed
1,0,1,1,1,1,1,// TODO needs to be synch? Probably not changed after threads have started // JMeter Home directory (excludes trailing separator) // JMeter bin directory (excludes trailing separator)
1,0,1,1,1,1,1,// Hack: bsh-2.0b5.jar BshScriptEngine implements Compilable but throws "java.lang.Error: unimplemented"
1,0,1,1,1,1,1,// TODO: what is this for?
1,0,1,1,1,1,1,// TODO should equals and hashCode depend on field other than count?
1,0,1,1,1,1,1,// TODO is sync really needed?
1,0,1,1,1,1,1,// TODO is this correct?
1,0,1,1,1,1,1,// TODO cpercent is the same as cmedian here - why? and why pass it to "distributionLine"?
1,0,1,1,1,1,1,// TODO: Should the method signature of this method be changed to // match the super-implementation (using a TestElement parameter // instead of AbstractListenerElement)? This would require an // instanceof check before adding the listener (below), but would // also make the behavior a bit more obvious for sub-classes -- the // Java rules dealing with this situation aren't always intuitive, // and a subclass may think it is calling this version of the method // when it is really calling the superclass version instead.
1,0,1,1,1,1,1,// TODO Should this method be synchronized ? all other function execute are
1,0,1,1,1,1,1,// TODO should the engine be static?
1,0,1,1,1,1,1,// N.B. Commons IO IOUtils has equivalent methods; these were added before IO was included // TODO - perhaps deprecate these in favour of Commons IO?
1,0,1,1,1,1,1,// TODO should this be getMin()?
1,0,0,1,0,1,1,"/*                 * Fix bug: -D arg1=arg2 was causing parse error; however                 * --define arg1=arg2 is OK This seems to be because the parser                 * skips the terminator for the long options, but was not doing                 * so for the short options.                 */"
1,0,1,1,1,1,1,// TODO improve the error handling
1,0,0,1,1,1,1,"/**     * Add logTargets to root logger     * FIXME What's the clean way to add a LogTarget afterwards ?     * @param logTargets LogTarget array     */"
1,1,1,1,1,1,1,// hack to reduce the need to load every class in non-GUI mode, which only needs functions // TODO perhaps use BCEL to scan class files instead? // class name should contain this string // class name should not contain this string
1,0,1,1,1,1,1,"/*             * TODO: Exact ordering is only required for some tests; change the             * comparison to do a set compare where necessary.             */"
1,0,1,1,1,1,1,// TODO field always true, what for ?
