oracle, Pattern, NLP, TM, MAT, MAT_TM, ,Comments
1,0,0,0,0,0,,// we basically ignore protocol. let someone report it...
1,0,1,1,1,1,,// SSS FIXME: Is this correct?
1,0,1,1,1,1,,// FIXME: I use a for block to implement END node because we need a proc which captures // its enclosing scope.   ForBlock now represents these node and should be renamed.
1,0,1,1,1,1,,// SSS FIXME: 1. Is the ordering correct? (poll before next)
1,0,0,0,0,0,,// We use a highly uncommon string to represent the paragraph delimiter (100% soln not worth it) 
1,0,1,1,1,1,,// add a "self" recv here // TODO: is this right?
1,0,0,0,1,1,,// TODO: // MRI behavior: Call "+" or "add", depending on the call. // But this leads to exceptions when Floats are added. See: // http://blade.nagaokaut.ac.jp/cgi-bin/scat.rb/ruby/ruby-core/17374 // return callCoerced(context, op, b, true); -- this is MRI behavior. // We'll use ours for now, thus providing an ability to add Floats.
1,0,1,1,1,1,,// SSS FIXME: Is this correctly placed ... at the end of the loop iteration?
1,0,1,1,1,1,,// TODO: Ruby reuses this logic for other "write" behavior by checking if it's an IO and calling write again
1,0,1,0,1,1,,// SSS FIXME: Where does this go? // m.setLinePosition(arrayNode.getPosition());
1,0,1,1,0,1,,// it would be nice (and logical!) if exponent form  // behaved like E/e, and decimal form behaved like f, // but no such luck. hence: 
1,0,1,0,1,1,,// SSS FIXME: These should get normally compiled or initialized some other way ...  // SSS FIXME: Parent/super-type info is incorrect! // These are just placeholders for now .. this needs to be updated with *real* class objects later!
1,0,1,1,1,1,,// TODO: NOT_ALLOCATABLE_ALLOCATOR is probably ok here. Confirm. JRUBY-415
1,0,1,1,1,1,,// SSS FIXME: I could make IR_Loop a scope too ... semantically, it is a scope, but, functionally, not sure if this is required yet ...
1,0,0,0,0,0,,// this covers the rare case of lower-case class names (and thus will // fail 99.999% of the time). fortunately, we'll only do this once per // package name. (and seriously, folks, look into best practices...)
1,0,1,1,1,1,,// SSS FIXME: Should this be a string literal or a string? // Dummy class for the script
1,0,1,1,1,1,,// TODO should this be deprecated ? (to be efficient, internals should deal with RubyHash directly)
1,0,1,0,1,1,,// SSS FIXME: Does int suffice, or do we need long?
1,0,0,0,0,0,,// modules are included with a shim class; we must find that shim to handle super() appropriately
1,0,1,1,1,1,,// Reset value map if this instruction is the start/end of a basic block // // Right now, calls are considered hard boundaries for optimization and // information cannot be propagated across them! // // SSS FIXME: Rather than treat all calls with a broad brush, what we need // is to capture different attributes about a call : //   - uses closures //   - known call target //   - can modify scope, //   - etc. // // This information is probably already present in the AST Inspector
1,0,1,1,1,1,,// TODO: Determine whether we should perhaps store non-singleton class // in the implementationClass
1,0,1,0,1,1,,// SSS FIXME: Correct?  Where does closure arg come from?
1,0,1,1,1,1,,/* FIXME: Consider fixing node_assign itself rather than single case*/
1,0,1,0,1,1,,// SSS FIXME: Should I have a reference to the IR_loop that is being retried?
1,1,1,1,1,1,,// temporary hack to handle non-Ruby values // will come up with better solution shortly
1,0,1,0,0,0,,// Simplify the variables too -- to keep these variables in sync with what is actually used in the when clauses // This is not required for correctness reasons, but only for performance reasons.
1,0,0,0,0,0,,// Must be called from main thread (it is currently, but this bothers me)
1,0,1,1,1,1,,// CON FIXME: I don't know how to make case be an expression...does that // logic need to go here?
1,0,1,1,1,1,,// FIXME: legal here? may want UnsupportedOperationException
1,1,1,1,1,1,,// FIXME: This is an ugly hack to resolve JRUBY-1381; I'm not proud of it
1,0,1,1,1,1,,// Something wrong we don't know the cwd... // TODO: Is this behavior really desirable? /mov
1,0,1,1,1,1,,// TODO: no java stringity
1,1,1,1,1,1,,// FIXME:  Total hack to get flash in Rails marshalling/unmarshalling in session ok...We need // to totally change marshalling to work with overridden core classes.
1,0,1,1,1,1,,// TODO: this method is not present in MRI!
1,0,1,1,1,1,,// FIXME: Ideally JavaObject instances should be marshallable, which means that // the JavaObject metaclass should have an appropriate allocator. JRUBY-414
1,0,1,1,1,1,,// TODO: public only?
1,0,1,1,1,1,,// FIXME: This should probably do some translation from Ruby priority levels to Java priority levels (until we have green threads)
1,0,1,1,1,1,,// TODO: Consider a better way of synchronizing 
1,0,0,0,0,0,,// using IOInputStream may not be the most performance way, but it's easy.
