projectname,classification,commenttext
Tomcat,SATD,//  Apache doesn't output an error message if it can't find   a program 
Tomcat,SATD,//  from commons logging. This would be my number one reason why java.util.logging   is bad - design by committee can be really bad ! The impact on performance of   using java.util.logging - and the ugliness if you need to wrap it - is far   worse than the unfriendly and uncommon default format for logs. 
Tomcat,SATD,// REMIND: rewrite multiple headers as if received as single  REMIND: change character set  REMIND: I forgot what the previous REMIND means 
Tomcat,SATD,/*      * Wait for Acknowledgement from other server.     * FIXME Please not wait only for three characters better control that the wait ack message is correct.     * @throws IOException An IO error occurred      */
Tomcat,SATD,/*      * Convert to char[] and fill the CharChunk.     * XXX Not optimized - it converts to String first.      */
Tomcat,SATD,//  FIXME - behavior if already started? 
Tomcat,SATD,//  TODO   - Should only use body encoding if useBodyEncodingForURI is true   - Otherwise should use URIEncoding   - The problem is that the connector is not available...   - To add to the fun the URI default changed in Servlet 4.0 to UTF-8 
Tomcat,SATD,//  TODO: This isn't pretty but it works. Significant refactoring would         be required to avoid the exception. 
Tomcat,SATD,/*  * A <b>Cluster </b> implementation using simple multicast. Responsible for * setting up a cluster and provides callers with a valid multicast * receiver/sender. * * FIXME wrote testcases * * @author Remy Maucherat * @author Peter Rossbach  */
Tomcat,SATD,/*      * This only works for tokens. Quoted strings need more sophisticated     * parsing.      */
Tomcat,SATD,/*  * This is a very basic ASN.1 parser that provides the limited functionality * required by Tomcat. It is a long way from a complete parser. * * TODO: Consider extending this parser and refactoring the SpnegoTokenFixer to *       use it.  */
Tomcat,SATD,//  XXX ENCODING - this only works if encoding is UTF8-compat   ( ok for tomcat where we compare ascii - header names etc )!!! 
Tomcat,SATD,//  FIXME - should we validate the return type? 
Tomcat,SATD,//  Only try to negotiate if both client and server have at least   one protocol in common   Note: Tomcat does not explicitly negotiate http/1.1   TODO: Is this correct? Should it change? 
Tomcat,SATD,//  FIXME How inform other session id cache like SingleSignOn 
Tomcat,SATD,/*          * Any call to this method is a result of a problem reading from the         * client. At this point that state of the connection is unknown.         * Attempt to send a close frame to the client and then close the socket         * immediately. There is no point in waiting for a close frame from the         * client because there is no guarantee that we can recover from         * whatever messed up state the client put the connection into.          */
Tomcat,SATD,//  FIXME At sender ack mode this method check only the state         transfer and resend is a problem! 
Tomcat,SATD,//  If sessions already exist in DB remove and insert again.   TODO:   * Check if ID exists in database and if so use UPDATE.
Tomcat,SATD,//  Doesn't work on all platforms - see BZ 56448. 
Tomcat,SATD,/*                      * FIXME: should probably be checking for things like                     * pageContext bodyContent and parent here -akv                      */
Tomcat,SATD,//  Calling code should ensure that there is no data in the buffers for   non-blocking writes.   TODO Validate the assertion above
Tomcat,SATD,/*  I don't know how to evaluate this!  */
Tomcat,SATD,/*      * This method should only be called if there is no chance that the socket     * is currently being used by the Poller. It is generally a bad idea to call     * this directly from a known error condition.      */
Tomcat,SATD,//  XXX   making these absolute till we work out the   addition of a PathInfo issue 
Tomcat,SATD,//  TODO: Do we need to think about precedence of the various ways         a lambda expression may be obtained from something that         the parser thinks is a function? 
Tomcat,SATD,//  "surrogate" - UTF is _not_ 16 bit but 21 !!!!   ( while UCS is 31 ). Amazing... 
Tomcat,SATD,//  PROTOCOL_ERROR is probably better than GOING_AWAY here 
Tomcat,SATD,//  XXX   should give more detail about the illegal argument 
Tomcat,SATD,//  TODO URLs returned by the Jar abstraction may be of the form jar:jar:        which is not a URL that can be resolved by the JRE. This should        use the JarFactory to construct and return a valid InputSource. 
Tomcat,SATD,//  TODO: Name validation takes place in Cookie and cannot be configured         per Context. Moving it to here would allow per Context config         but delay validation until the header is generated. However         the spec requires an IllegalArgumentException on Cookie 
Tomcat,SATD,//  Do not do this at home. The unconstrained buffer is a DoS risk. 
Tomcat,SATD,//  Size is supposed to be 33 without huffman or 27 with it   TODO: use the HpackHeaderFunction to enable huffman predictably 
Tomcat,SATD,//  Stupid - this will set the default minfo first.... 
Tomcat,SATD,//  Work around a problem with the URLs in the security policy file.   On Windows the use of ${catalina.[home|base]} in the policy file   results in codebase URLs of the form file:C:/... when they should   be file:/C:/...   For file: and jar: URLs the JRE compensates for this. It does not   compensate for this for war:file:... URLs. Therefore we do that   here 
