projectname,classification,commenttext
Poi,SATD,//  Complex file   TODO 
Poi,SATD,//  Sometimes the grpprl does not contain data at every offset. I have no idea why this happens. 
Poi,SATD,/* @todo handle table sprms from complex files */
Poi,SATD,//  FIXME (byte array properties not yet implemented): dsi.setDocparts(P_DOCPARTS); 
Poi,SATD,//  FIXME (byte array properties not yet implemented): assertNull(dsi.getDocparts());   FIXME (byte array properties not yet implemented): assertNull(dsi.getHeadingPair()); 
Poi,SATD,//  TODO clone some more properties ?  
Poi,SATD,/*  TODO: handle rect path  */
Poi,SATD,// TODO -- implement these as needed  BrtFileVersion(128) //file version 
Poi,SATD,// TODO: depending on the formatId getDateTimeText() should return formatted date  assertEquals("08/12/08" notesHdd.getDateTimeText()); 
Poi,SATD,/*  * Test Freeform object. * The Freeform shape is constructed from java.awt.GeneralPath. * Check that the get/set path accessors are consistent. * (TODO: verification of Bezier curves is more difficult due to rounding error.  Figure out a test approach for that) * * @author Yegor Kozlov  */
Poi,SATD,//  TODO: Can these ever have formatting on them? 
Poi,SATD,//  "A .. B" not valid syntax for "A:B"   and there's no other valid expression that fits this grammar 
Poi,SATD,//  PDXNAN(0x006F0x0C65"PDXnan") // invalid combo 
Poi,SATD,//  Copy merged regions that are fully contained on the row   FIXME: is this something that rowShifter could be doing? 
Poi,SATD,/* @todo handle large PAPX from data stream */
Poi,SATD,/*  TODO update body element update xwpf element verify that         * incoming paragraph belongs to this document or if not XML was         * copied properly (namespace-abbreviations etc.)          */
Poi,SATD,/*  *	Test to see if Range.insertBefore() works even if the Range contains a *	CharacterRun that uses Unicode characters. * * TODO - re-enable me when unicode paragraph stuff is fixed!  */
Poi,SATD,//  Some files seem to lie about their unicode status which      is very very pesky. Try to work around these but this 
Poi,SATD,//  TODO - check the formula once tables and    arrays are properly supported 
Poi,SATD,//  TODO: handle LCID codes 
Poi,SATD,//  TODO: use new properties 
Poi,SATD,//  TODO Update this to expose first and last sheet indexes 
Poi,SATD,//  We get an error when we parse [Content_Types].xml   because it's not a valid URI. 
Poi,SATD,//  TODO Work out how to report this given we can't change the method signature... 
Poi,SATD,/*  * TODO: document me *  * @author Sergey Vladimirov (vlsergey {at} gmail {dot} com)  */
Poi,SATD,//  FIXME: is this something that rowShifter could be doing? 
Poi,SATD,// TODO: default "autobreaks" is different in HSSF and XSSF 
Poi,SATD,//  We need a new CTXf for the main styles   TODO decide on a style ctxf 
Poi,SATD,// TODO: implement more dashing styles 
Poi,SATD,/*          * HACK: Detect compressed images. In reality there should be some way         * to determine this from the first 32 bytes but I can't see any         * similarity between all the samples I have obtained nor any         * similarity in the data block contents.          */
Poi,SATD,//  TODO: handle palette colors and alpha(?) value 
Poi,SATD,//  TODO: check size   TODO: check size   TODO: check size 
Poi,SATD,//       assertRefPtgA1('V' getPtgs(cell) 6); // FIXME! 
Poi,SATD,//  Excel's # with value 0 will output empty where Java will output 0. This hack removes the # from the format. 
Poi,SATD,//  Todo - check text too once bug fixed 
Poi,SATD,//  TODO: check if we can break here i.e. if a page can have more than 1 break on the same id 
Poi,SATD,/*      * Apply a custom filter     *     * <p>     * A custom AutoFilter specifies an operator and a value.     * There can be at most two customFilters specified and in that case the parent element     * specifies whether the two conditions are joined by 'and' or 'or'. For any cells whose     * values do not meet the specified criteria the corresponding rows shall be hidden from     * view when the filter is applied.     * </p>     *     * <p>     * Example:     * <blockquote><pre>     *  AutoFilter filter = sheet.setAutoFilter(CellRangeAddress.valueOf("A1:F200"));     *  filter.applyFilter(0 FilterOperator.GreaterThanOrEqual" "0.2");     *  filter.applyFilter(1 FilterOperator.LessThanOrEqual"" "0.5");     * </pre></blockquote>     * </p>     *     * @param columnIndex 0-based column index     * @param operator the operator to apply     * @param criteria top or bottom value used in the filter criteria.     *     * TODO YK: think how to combine AutoFilter with with DataValidationConstraint they are really close relatives     * void applyFilter(int columnIndex FilterOperator operator String criteria);      */
Poi,SATD,//  TODO - this data seems to require two extra bytes padding. not sure where original file is.   it's not bug 38607 attachment 17639 
Poi,SATD,//  FIXME: this function is a self-fulfilling prophecy: this test will always pass as long 
Poi,SATD,// FIXME: XSSFCell and HSSFCell expose different interfaces. getErrorCellString would be helpful here 
Poi,SATD,/*         * Exponent sign handling is complex.        *        * In DecimalFormat you never put the sign in the format and the sign only        * comes out of the format if it is negative.        *        * In Excel you always say whether to always show the sign ("e+") or only        * show negative signs ("e-").        *        * Also in Excel where you put the sign in the format is NOT where it comes        * out in the result.  In the format the sign goes with the "e"; in the        * output it goes with the exponent value.  That is if you say "#e-|#" you        * get "1e|-5" not "1e-|5". This makes sense I suppose but it complicates        * things.        *        * Finally everything else in this formatting code assumes that the base of        * the result is the original format and that starting from that situation        * the indexes of the original special characters can be used to place the new        * characters.  As just described this is not true for the exponent's sign.        * <p>        * So here is how we handle it:        *        * (1) When parsing the format remove the sign from after the 'e' and put it        * before the first digit of the exponent (where it will be shown).        *        * (2) Determine the result's sign.        *        * (3) If it's missing put the sign into the output to keep the result        * lined up with the output. (In the result "after the 'e'" and "before the        * first digit" are the same because the result has no extra chars to be in        * the way.)        *        * (4) In the output remove the sign if it should not be shown ("e-" was used        * and the sign is negative) or set it to the correct value.         */
Poi,SATD,//  FIXME: forgot to reassign!  cols = sheet1.getCTWorksheet().getColsArray(0); 
Poi,SATD,//  ExpPtg is used for array formulas and shared formulas.   it is currently unsupported and may not even get implemented here 
Poi,SATD,/*      * To avoid accident changes to the template you should be able     *  to create a SXSSFWorkbook from a read-only XSSF one then     *  change + save that (only). See bug #60010     * TODO Fix this to work!      */
Poi,SATD,//  It's a special formula condition.   TODO: Check whether the condition cell contains a formula and return #VALUE! if it doesn't. 
Poi,SATD,//  TODO - would be nice to remove this 
Poi,SATD,//  This override is used only in order to test failing for HSSF. Please remove method after code is fixed on hssf    so that original method from BaseTestSheetShiftColumns can be executed.  
Poi,SATD,//  int not short ... :( 
Poi,SATD,//  TODO - add getFormat() to interface PictureData and genericise wb.getAllPictures() 
Poi,SATD,//  TODO - remove 've == null' condition once AreaEval is fixed 
Poi,SATD,//  TODO - remove this method 
Poi,SATD,//  POI uses UnknownPtg when the encoded Ptg array seems to be corrupted.   This seems to occur in very rare cases (e.g. unused name formulas in bug 44774 attachment 21790)   In any case formulas are re-parsed before execution so UnknownPtg should not get here 
Poi,SATD,//  Hack the FAT so that it goes 0->1->2->0 
Poi,SATD,//  TODO - shouldn't BlankEval.INSTANCE be used always instead of null?   null seems to occur when the blank cell is part of an area ref (but not reliably) 
Poi,SATD,//  TODO Is CommonCrawl 265 = 0x109 the one above or below? 
Poi,SATD,// TODO read byte to figure out the type of error 
Poi,SATD,//  TODO: handle PaintStyle 
Poi,SATD,//  this already failed! Hex2Dec did not correctly handle RefEval 
Poi,SATD,// TODO column styles are not yet supported by XSSF 
Poi,SATD,//  TODO Add support for removing these kinds of nested runs    which aren't on the CTP -> R array but CTP -> XXX -> R array 
Poi,SATD,//  Oh dear something has gone wrong... 
Poi,SATD,//  not implemented ... also not in the specs 
Poi,SATD,//  fix header size sometimes this is invalid 
Poi,SATD,//  TODO How best to warn of a short read? 
Poi,SATD,/*  * This class is a friendly wrapper on top of the more scary HSLFSlideShow. * * TODO: - figure out how to match notes to their correct sheet (will involve * understanding DocSlideList and DocNotesList) - handle Slide creation cleaner  */
Poi,SATD,//  TODO - no idea if this is right 
Poi,SATD,//  TODO: convert the data to the cell format 
Poi,SATD,//  TODO - when does this occur? 
Poi,SATD,/*     * To ensure we can create a file >2gb in size as well as to    *  extend existing files past the 2gb boundary.    *    * Note that to run this test you will require 2.5+gb of free    *  space on your TMP/TEMP partition/disk    *    * Note that to run this test you need to be able to mmap 2.5+gb    *  files which may need bigger kernel.shmmax and vm.max_map_count    *  settings on Linux.    *    * TODO Fix this to work...     */
Poi,SATD,//  This bug is currently open. This test will fail with "expected error not thrown" when the bug has been fixed.   When this happens change this from @Test(expected=...) to @Test 
Poi,SATD,// FIXME: change to protected if/when SXSSFHyperlink class is created 
Poi,SATD,/*  *	Test to see if Range.replaceText() works even if the Range contains a *	CharacterRun that uses Unicode characters. * * TODO - re-enable me when unicode paragraph stuff is fixed!  */
Poi,SATD,/*  * Represents autofiltering for the specified worksheet. * * <p> * Filtering data is a quick and easy way to find and work with a subset of data in a range of cells or table. * For example you can filter to see only the values that you specify filter to see the top or bottom values * or filter to quickly see duplicate values. * </p> * * TODO YK: For now (Aug 2010) POI only supports setting a basic autofilter on a range of cells. * In future when we support more auto-filter functions like custom criteria sort etc. we will add * corresponding methods to this interface.  */
Poi,SATD,//  FIXME: remove try catch and testPassesNow skipTest when test passes 
Poi,SATD,/*  FIXME copied from {@link org.apache.poi.ss.TestWorkbookFactory}  */
Poi,SATD,//  TODO - check contents 
Poi,SATD,/*  * This handles reading and writing a stream within a *  {@link POIFSFileSystem}. It can supply an iterator *  to read blocks and way to write out to existing and *  new blocks. * Most users will want a higher level version of this  *  which deals with properties to track which stream *  this is. * This only works on big block streams it doesn't *  handle small block ones. * This uses the new NIO code *  * TODO Implement a streaming write method and append  */
Poi,SATD,//  FIXME: Move these constants into an enum 
Poi,SATD,// FIXME: should be false no need to create rows where src is only to copy them to dest 
Poi,SATD,//  TODO add support for TargetMode.EXTERNAL relations. 
Poi,SATD,//  TODO - DOLLAR() function impl is NQR   result should be StringEval with leading '$' and thousands separators 
Poi,SATD,/* 	 * Sets the URL of the link	 * TODO: Figure out if we should always set both	  */
Poi,SATD,//  FIXME: this class implements a lot of path joining and splitting logic that   is already implemented in java.nio.file.Path.   This class should heavily leverage Java library code to reduce the number of lines of code that POI has to maintain and test 
Poi,SATD,//  The directory lacks a name! 
Poi,SATD,// don't really need this. spec is confusing regarding this  sprm 
Poi,SATD,//  TODO - Current examples(3) from junits only have zero length username.  
Poi,SATD,//  TODO: handle relative coordinates 
Poi,SATD,//  TODO .xls version available too add HSSF support then check  
Poi,SATD,//  TODO calculation of tint might be incorrect 
Poi,SATD,//  Dummy implementation - not used! 
Poi,SATD,//  not sure why this is only 2 bytes but it is... go figure 
Poi,SATD,//  TODO Implement the rest of this see bug #57184 
Poi,SATD,//  TODO - what about NameX ? 
Poi,SATD,// TODO: implement this 
Poi,SATD,//  TODO - make writing possible 
Poi,SATD,//  FIXME: Array Formula set with Sheet.setArrayFormula() instead of cell.setFormula() 
Poi,SATD,//  TODO: check for XXE 
Poi,SATD,//  TODO Add support for Even/Odd headings and footers 
Poi,SATD,//  FIXME: _sheetName may be null depending on the entry point.   Perhaps it would be better to declare _sheetName is never null using an empty string to represent a 2D reference. 
Poi,SATD,//  TODO - no Random - tests should be completely deterministic 
Poi,SATD,//  FIXME: may want to defer to the TempFile with a persistent file creation strategy to the test output dir 
Poi,SATD,//  TODO Figure out if we're in 1900 or 1904   EXCEL functions round up nearly a half second (probably to prevent floating point 
Poi,SATD,/*         // FIXME: Array Formula set with Sheet.setArrayFormula() instead of cell.setFormula()        assertEquals("[Array Formula] N10 cell type" CellType.FORMULA cell.getCellType());        assertEquals("[Array Formula] N10 cell formula" "{SUM(H10:J10*{123})}" cell.getCellFormula());        cell = CellUtil.getCell(destRow2 col);        // FIXME: Array Formula set with Sheet.setArrayFormula() instead of cell.setFormula()        assertEquals("[Array Formula] N11 cell type" CellType.FORMULA cell.getCellType());        assertEquals("[Array Formula] N11 cell formula" "{SUM(H11:J11*{123})}" cell.getCellFormula());      */
Poi,SATD,//  TODO repeat above code for missing charts: Bubble Doughnut OfPie and Stock 
Poi,SATD,//  TODO Decode this properly 
Poi,SATD,//  0x8??? ones are outlook specific and not standard MAPI   TODO See http://msdn.microsoft.com/en-us/library/ee157150%28v=exchg.80%29   for some   info on how we might decode them properly in the future 
Poi,SATD,//  Formula based strings   TODO Find some then test 
Poi,SATD,/*  * Implementation of the DMin function: * Finds the minimum value of a column in an area with given conditions. *  * TODO: * - wildcards ? and * in string conditions * - functions as conditions  */
Poi,SATD,//  workaround for too wide pens ... just arbitrary reduce high values ... 
Poi,SATD,//  TOOD: implement Non-Cmap-Lookup correctly 
Poi,SATD,//  Comes from Iterators etc.   TODO Decide if we can handle these better whilst    still sticking to the iterator contract 
Poi,SATD,//  TODO: very non-optimal 
Poi,SATD,//  TODO: add trailing \u0000?  
Poi,SATD,//  FIXME: What happens if level is in between two levels (an even number)? 
Poi,SATD,/*      * Get the raw value flags. TODO Also provide getters for the flag meanings      */
Poi,SATD,//  FIXME: test failing case 
Poi,SATD,/*     * Note - this test runs several times to ensure that things    *  don't get broken as we write out and read back in again    * TODO - Make this work with 3+ runs     */
Poi,SATD,//  TODO - support charts properly in usermodel 
Poi,SATD,//  Workaround for XMLBEANS-512 - ensure that when we parse    the file we start with a fresh XML Parser each time    and avoid the risk of getting a SaxHandler that's in error 
Poi,SATD,//  TODO: ok to ignore? 
Poi,SATD,//  TODO ... read from graphics context??? 
Poi,SATD,//  TODO Re-check sheet contents   TODO Re-check formula evaluation 
Poi,SATD,//  TODO Fix the exception this incorrectly triggers  assertEquals(" $   - "  cfUS.apply(Double.valueOf(0)).text);   TODO Fix these to not have an incorrect bonus 0 on the end   assertEquals(" "+pound+"   -  " cfUK.apply(Double.valueOf(0)).text);  assertEquals(" -    "+euro+"  " cfFR.apply(Double.valueOf(0)).text); 
Poi,SATD,/*  * TODO Bring more of the logic over from XWPFParagraph  */
Poi,SATD,//  TODO: assertEquals("Minimum row number is 0." e.getMessage()); 
Poi,SATD,//  FIXME (byte array properties not yet implemented): si.setThumbnail(P_THUMBNAIL); 
Poi,SATD,/*      * Builds a Picture object for a Picture stored as     *  Escher.     * TODO We need to pass in the PICF data too somehow!      */
Poi,SATD,//  Index the Parent Group chunks for easy lookup   TODO Is this the right way? 
Poi,SATD,//  TODO Support IconSet + Other CFs with 2 rules          assertEquals(2 cf.getNumberOfRules());          cr = cf.getRule(0);          assertIconSetPercentages(cr IconSet.GYR_3_TRAFFIC_LIGHTS_BOX 0d 33d 67d);          cr = cf.getRule(1);          assertEquals(ConditionType.FORMULA cr.getConditionType());          assertEquals(ComparisonOperator.NO_COMPARISON cr.getComparisonOperation());          // TODO Why aren't these two the same between formats? 
Poi,SATD,//  TODO Look up more of these in the latest [MS-XLS] doc and move to getBiffName 
Poi,SATD,//  TODO: better exception class 
Poi,SATD,//  TODO: check why we always clear this ... 
Poi,SATD,//  TODO - enable XSSF test 
Poi,SATD,//  TODO: to be validated ...   like anisotropic but use x-axis as reference 
Poi,SATD,//  Tricky not stored directly in poifs   TODO 
Poi,SATD,// TODO add other shape types which can not contain text 
Poi,SATD,/*  find a better solution  */
Poi,SATD,//  TODO Decode the value into an offset   TODO Look up the chunk based on that 
Poi,SATD,/*      * Test of getPath method of class DConRefRecord.     * @todo different types of paths.      */
Poi,SATD,//             // TODO - trivial differences in ContinueRecord break locations              // Sample data should be checked against what most recent Excel version produces.              // maybe tweaks are required in ContinuableRecordOutput              assertArrayEquals(origData ser_output);          } 
Poi,SATD,/*  @todo handle cell shading */
Poi,SATD,//  TODO: good to ignore? 
Poi,SATD,//  TODO: is "velvetSweatshop" the default password? 
Poi,SATD,//  FIXME (byte array properties not yet implemented): assertEquals(P_ dsi.getHeadingPair()); 
Poi,SATD,/*                  * too bad this start field mark doesn't have corresponding end                 * field mark or separator field mark in fields table                  */
Poi,SATD,//  TODO Load element with XMLBeans or dynamic table   TODO Check every element/namespace for compliance 
Poi,SATD,//  something went wrong. just print the whole stack trace 
Poi,SATD,//  To do: Excel places restrictions on the available operations within a list formula.   Some things like union and intersection are not allowed. 
Poi,SATD,//  TODO: actually evaluate the formula / NPE checks 
Poi,SATD,// Given that we basically iterate through the rows in order  For a performance improvement it would be better to return an instance of  an iterator and use that instance throughout rather than recreating one and  having to move it to the right position. 
Poi,SATD,//  TODO - do we need "Workbook.records.remove(...);" similar to that in Workbook.removeName(int namenum) {}? 
Poi,SATD,//  Tricky:   fourth arg supplied but evaluates to blank   this does not get the default value 
Poi,SATD,//  bad because zero is not a valid row number   this should get parsed as "B1" 
Poi,SATD,//  TODO - Handle CRC checking on the output side 
Poi,SATD,//  WARNING - this is wrong!   The file name should be showing but bug #45970 is fixed 
Poi,SATD,//  not available here unless it exists and is unimplemented in cfRuleRecord 
Poi,SATD,//  TODO: support inline table style 
Poi,SATD,//  TODO Shouldn't it become [2] like the others? 
Poi,SATD,//  TODO Detect if it is multi-valued since if it is   then even fixed-length strings store their multiple   values in another chunk (much as variable length ones) 
Poi,SATD,//  TODO avoid StringIndexOutOfBounds 
Poi,SATD,//  TODO Some files such as TestVisioWithCodepage.vsd are currently   triggering this for values that don't look like codepages   See Bug #52258 for details 
Poi,SATD,//  TODO - are these ~Field used / necessary 
Poi,SATD,/*      * TODO - parse conditional format formulas properly i.e. produce tRefN and tAreaN instead of tRef and tArea     * this call will produce the wrong results if the formula contains any cell references     * One approach might be to apply the inverse of SharedFormulaRecord.convertSharedFormulas(Stack int int)     * Note - two extra parameters (rowIx &amp; colIx) will be required. They probably come from one of the Region objects.     *     * @param formula  The formula to parse excluding the leading equals sign.     * @param sheet  The sheet that the formula is on.     * @return <code>null</code> if <tt>formula</tt> was null.      */
Poi,SATD,//  can this clumsy generic syntax be improved? 
Poi,SATD,//  TODO: check if issuerName is different on getTBSCertificate   issuerName = PrincipalUtil.getIssuerX509Principal(certificate).getName().replace("" " "); 
Poi,SATD,/*      * @param fcStart The start of the text for this property in characters.     * @param fcEnd   The end of the text for this property in characters.     * @param buf     FIXME: Old documentation is: "grpprl The property description in compressed form."      */
Poi,SATD,//  TODO: calculate integrity hmac while reading the stream   for a post-validation of the data 
Poi,SATD,//  workaround for not having the vmlDrawing filled 
Poi,SATD,//  not implemented ... only for OLE objects in the specs 
Poi,SATD,//  see 2.3.4.9 Password Verification (Standard Encryption)   ... The number of bytes used by the encrypted Verifier hash MUST be 32 ...   TODO: check and trim/pad the hashes to 32 
Poi,SATD,//  TODO Shouldn't we use XWPFNumbering or similar here?   TODO Make it easier to change 
Poi,SATD,/*      * Chooses a new boolean value for the cell when its type is changing.<p>     *     * Usually the caller is calling setCellType() with the intention of calling     * setCellValue(boolean) straight afterwards.  This method only exists to give     * the cell a somewhat reasonable value until the setCellValue() call (if at all).     * TODO - perhaps a method like setCellTypeAndValue(CellType Object) should be introduced to avoid this      */
Poi,SATD,//  TODO: update this test for meaningful functional behavior 
Poi,SATD,/*  @todo handle word defined table styles */
Poi,SATD,/*      * Determines if there is a page break at the indicated row     * @param row FIXME: Document this!     * @return FIXME: Document this!      */
Poi,SATD,//  TODO Identify if we're doing 1900 or 1904 date windowing 
Poi,SATD,//  TODO - not a real Ptg   0x01   0x02   0x03   0x04   0x05   0x06   0x07   0x08   0x09   0x0a   0x0b   0x0c   0x0d   0x0e   0x0f   0x10   0x11   0x12   0x13   0x14   0x15   0x16 
Poi,SATD,// HACK: do a "cheat" clone see Record.java for more information 
Poi,SATD,/*              * it is not very good but what can do without breaking current             * API? --sergey              */
Poi,SATD,//  as the integrity hmac needs to contain the StreamSize   it's not possible to calculate it on-the-fly while buffering   TODO: add stream size parameter to getDataStream() 
Poi,SATD,//  TODO - c2 unused but changing next line ('c'->'c2') causes test to fail 
Poi,SATD,//  TODO: what is the reaction for readOnly=false and styles.isEmpty()? 
Poi,SATD,/* 	 * Formats the given numeric of date cells contents as a String in as	 * close as we can to the way that Excel would do so. Uses the various	 * format records to manage this.	 *	 * TODO - move this to a central class in such a way that hssf.usermodel can	 * make use of it too	 * 	 * @param cell the cell	 * 	 * @return the given numeric of date cells contents as a String	  */
Poi,SATD,//  XOR-Obfuscation   TODO: XOR-Obfuscation is currently flawed - although the de-/obfuscation initially works   it suddenly differs from the result of encrypted files via Office ...   and only very small files can be opened without file validation errors 
Poi,SATD,//  Workaround   sheet.addIgnoredErrors(new CellReference(cell.getRowIndex() cell.getColumnIndex() false false)          IgnoredErrorType.NUMBER_STORED_AS_TEXT); 
Poi,SATD,/*      * Normalize a URI/part name     * TODO: find a better way ...      */
Poi,SATD,//  TODO: The colors don't match 100% the results of Powerpoint maybe because we still   operate in sRGB and not scRGB ... work in progress ... 
Poi,SATD,//  Work out what to add the picture to then add both the    picture and the relationship for it   TODO Should we have an interface for this sort of thing? 
Poi,SATD,//  XXX: shall we support fill? 
Poi,SATD,//  TODO: case-sensitive? 
Poi,SATD,//  TODO: find out how we can find the mastersheet base on the slide layout type i.e.   getSlideRecord().getSlideAtom().getSSlideLayoutAtom().getGeometryType() 
