projectname,classification,commenttext
Ant,DESIGN,"/** XXX I really don't like this - the XML processor is still             * too 'involved' in the processing. A better solution (IMO)             * would be to create UE for Project and Target too and             * then process the tree and have Project/Target deal with             * its attributes ( similar with Description ).             *             * If we eventually switch to ( or add support for ) DOM             * things will work smoothly - UE can be avoided almost completely             * ( it could still be created on demand for backward compatibility )             */"
Ant,DESIGN,// JUnit 4 wraps solo tests this way. We can extract // the original test name with a little hack.
Ant,DESIGN,// XXX ignore attributes in a different NS ( maybe store them ? )
Ant,DESIGN,//borrowed from TokenFilterTest
Ant,DESIGN,// XXX Move to Project ( so it is shared by all helpers )
Ant,DESIGN,// What is the property supposed to be?
Ant,DESIGN,// PR: Hack for ant-type value //  an ant-type is a component name which can // be namespaced need to extract the name // and convert from qualified name to uri/name
Ant,DESIGN,// there's a convenient xsltc class version but data are // private so use package information
Ant,DESIGN,// stolen from org.apache.xerces.impl.XMLEntityManager#getUserDir() // of the Xerces-J team // which ASCII characters need to be escaped
Ant,DESIGN,// bingo append it. (this should normally not be done here)
Ant,DESIGN,// This is faintly ridiculous:
Ant,DESIGN,//cannot remove underscores due to protected visibility >:(
Ant,DESIGN,// TODO not read yet in a public setter
Ant,DESIGN,//  PR: I do not know what to do if the object class //      has multiple defines //      but this is for logging only...
Ant,DESIGN,// not sure what could be the need of this...
Ant,DESIGN,// XXX: (Jon Skeet) Any reason for writing a message and then using a bare // RuntimeException rather than just using a BuildException here? Is it // in case the message could end up being written to no loggers (as the // loggers could have failed to be created due to this failure)?
Ant,DESIGN,// Experimental/Testing will be removed
Ant,DESIGN,// XXX should instead make a new ProtectionDomain with a CodeSource // corresponding to container.toURI().toURL() and the same // PermissionCollection as Project.class.protectionDomain had
Ant,DESIGN,//this is really irritating; we need a way to set stuff
Ant,DESIGN,//XXX // All this to convert source to destination directory according // to weblogic standards Can be written better... this is too hacky!
Ant,DESIGN,//silly hack to avoid stack overflow...
Ant,DESIGN,// -------------------- Access to property tables  -------------------- // This is used to support ant call and similar tasks. It should be // deprecated it is possible to use a better (more efficient) // mechanism to preserve the context.
Ant,DESIGN,// XXX - should throw an exception instead?
Ant,DESIGN,// Temporary - until we figure a better API
Ant,DESIGN,// There is a better way to save the context. This shouldn't // delegate to next it's for backward compatibility only.
Ant,DESIGN,// quick fix for Ant.java use of property before // initializing the project
Ant,DESIGN,// XXX: we should use JCVS (www.ice.com/JCVS) instead of // command line execution so that we don't rely on having // native CVS stuff around (SM)
Ant,DESIGN,"/*             * two reasons are mentioned in the API docs for File.list             * (1) dir is not a directory. This is impossible as             *     we wouldn't get here in this case.             * (2) an IO error occurred (why doesn't it throw an exception             *     then???)             */"
Ant,DESIGN,"/** * Jakarta Commons Logging listener. * Note: do not use the SimpleLog as your logger implementation as it * causes an infinite loop since it writes to System.err which Ant traps * and reroutes to the logger/listener layer. * * The following names are used for the log: *  org.apache.tools.ant.Project.PROJECT_NAME  - for project events *  org.apache.tools.ant.Target.TARGET_NAME - for target events *  TASK_CLASS_NAME.TARGET_NAME - for events in individual targets. * * In all target and project names we replace ""."" and "" "" with ""-"". * * TODO: we should use the advanced context logging features (and expose them * in c-l first :-) * TODO: this is _very_ inefficient. Switching the out and tracking the logs * can be optimized a lot - but may require few more changes to the core. * * @since Ant 1.5 */"
Ant,DESIGN,//     * @TODO using taskName here is brittle as a user could override it. //     *       this should probably be modified to use the classname instead.
Ant,DESIGN,//these are pathological cases but retained in case somebody //subclassed us.
Ant,DESIGN,"/*                 * This is a rather hairy case.                 *                 * One of our subclasses knows that we need to update the                 * archive but at the same time there are no resources                 * known to us that would need to be added.  Only the                 * subclass seems to know what's going on.                 *                 * This happens if <jar> detects that the manifest has changed                 * for example.  The manifest is not part of any resources                 * because of our support for inline <manifest>s.                 *                 * If we invoke createEmptyZip like Ant 1.5.2 did                 * we'll loose all stuff that has been in the original                 * archive (bugzilla report 17780).                 */"
Ant,DESIGN,// This is deprecated - use classespath in the future
Ant,DESIGN,//XXX  this array stuff is a remnant of prev trials.. gotta remove.
Ant,DESIGN,"/**     * Set the number of milliseconds leeway to give before deciding a     * target is out of date.     * TODO: This is not yet used.     * @param granularity the granularity used to decide if a target is out of     *                    date.     */"
