projectname,classification,commenttext
Dubbo,SATD,//  IMPORTANT! For async scenario we must remove context from current thread so we always create a new RpcContext for the next invoke for the same thread. 
Dubbo,SATD,//  TODO: 2017/8/30 to move somewhere else better 
Dubbo,SATD,//  FIXME: now we need to check first then load 
Dubbo,SATD,//  TODO Context.SESSIONS is the best option here? (In jetty 9.x it becomes ServletContextHandler.SESSIONS) 
Dubbo,SATD,//  TODO move names to Constants 
Dubbo,SATD,// ignore concurrent problem? 
Dubbo,SATD,// TODO add this to provider config 
Dubbo,SATD,//  special treatment of array values was suggested by 'lizongbo' 
Dubbo,SATD,//  TODO we should leave this setting to slf4j 
Dubbo,SATD,//  FIXME: when the thread pool is full SERVER_THREADPOOL_EXHAUSTED_ERROR cannot return properly   therefore the consumer side has to wait until gets timeout. This is a temporary solution to prevent   this scenario from happening but a better solution should be considered later. 
Dubbo,SATD,//  The initial value is null and the midway may be assigned to null please use the local variable reference 
Dubbo,SATD,//  FIXME REQUEST_CONTEXT 
Dubbo,SATD,//  for example object transported on the wire doesn't implement Serializable 
Dubbo,SATD,// bug: DUBBO-425 
Dubbo,SATD,//  FIXME log error message in Codec and handle in caught() of IoHanndler? 
Dubbo,SATD,// There may be some problem handling chinese (negative number recognition). Ignoring this problem the backspace key is only meaningfully input in a real telnet program. 
Dubbo,SATD,/*       This UT is unstable consider remove it later.      @see https://github.com/apache/dubbo/issues/1787      */
Dubbo,SATD,//  bug: DUBBO-132 
Dubbo,SATD,//  TODO do more sophisticated exception handling and output 
Dubbo,SATD,/*  * TODO for now kryo serialization doesn't deny classes that don't implement the serializable interface * * <pre> *     e.g. &lt;dubbo:protocol serialization="kryo" /&gt; * </pre>  */
Dubbo,SATD,//  TODO users can override this mapper but we just rely on the current priority strategy of resteasy 
Dubbo,SATD,// FIXME: waiting for embedded Nacos suport then we can open the switch. 
Dubbo,SATD,// TODO generic invoker？ 
Dubbo,SATD,/*      * FIXME this instance will always be a type of DynamicConfiguration ConfigCenterConfig will load the instance at startup and assign it to here.      */
Dubbo,SATD,//  TODO Do not want to use spaces? See: DUBBO-502 URL class handles special conventions for special characters. 
Dubbo,SATD,//  hack use reflection to get the shared channel.
Dubbo,SATD,//  TODO Notification failure does not restore mechanism guarantee 
Dubbo,SATD,// TODO fix npe  context.isProviderSide(); 
Dubbo,SATD,// TODO we needs use force writing to file so that buffer gets clear and new log can be written. 
Dubbo,SATD,// Reselect before retry to avoid a change of candidate `invokers`.  NOTE: if `invokers` changed then `invoked` also lose accuracy. 
Dubbo,SATD,/*  * TODO load as SPI will be better?  */
Dubbo,SATD,// fixme reject exception can not be sent to consumer because thread pool is full resulting in consumers waiting till timeout. 
Dubbo,SATD,/*  * TODO refactor using mockito  */
Dubbo,SATD,//  generally a client can only be closed once here it is closed twice counter is incorrect 
Dubbo,SATD,// TODO A temporary solution to the problem that the exception information can not be sent to the opposite end after the thread pool is full. Need a refactoring  fix The thread pool is full refuses to call does not return and causes the consumer to wait for time out 
Dubbo,SATD,//  TODO in the future maybe we can just use a single rest client and connection manager 
Dubbo,SATD,// TODO solve merge problem  = Constants.DEFAULT_STUB_EVENT; 
Dubbo,SATD,//  FIXME: a hack to make org.apache.dubbo.remoting.exchange.support.DefaultFuture.closeChannel work 
Dubbo,SATD,/*  is the buffer big enough?  */
Dubbo,SATD,//  BUG: DUBBO-846 in version 2.0.9 config retry="false" on provider's method doesn't work 
Dubbo,SATD,//  FIXME: this exposes the design flaw in RouterChain 
Dubbo,SATD,//  FIXME RESPONSE_CONTEXT 
Dubbo,SATD,//  TODO jetty will by default enable keepAlive so the xml config has no effect now 
Dubbo,SATD,// cannot write == not Available ? 
Dubbo,SATD,//  TODO Wrapper cannot handle this scenario correctly: the classname contains '$' 
Dubbo,SATD,//  On server side thrift can not handle exceptions not declared in idl 
Dubbo,SATD,// TODO assert error log 
Dubbo,SATD,/*  * This class represents an unfinished RPC call it will hold some context information for this call for example RpcContext and Invocation * so that when the call finishes and the result returns it can guarantee all the contexts being recovered as the same as when the call was made * before any callback is invoked. * <p> * TODO if it's reasonable or even right to keep a reference to Invocation? * <p> * As {@link Result} implements CompletionStage {@link AsyncRpcResult} allows you to easily build a async filter chain whose status will be * driven entirely by the state of the underlying RPC call. * <p> * AsyncRpcResult does not contain any concrete value (except the underlying value bring by CompletableFuture) consider it as a status transfer node. * {@link #getValue()} and {@link #getException()} are all inherited from {@link Result} interface implementing them are mainly * for compatibility consideration. Because many legacy {@link Filter} implementation are most possibly to call getValue directly.  */
Dubbo,SATD,//  FIXME should put exception in future? 
Dubbo,SATD,//  DUBBO-571 methods key in provider's URLONE doesn't contain the methods from inherited super interface 
Dubbo,SATD,/*  * ContextFilterTest.java * TODO need to enhance assertion  */
Dubbo,SATD,//  FIXME: this code looks useless 
Dubbo,SATD,//  TODO due to dubbo's current architecture   it will be called from registry protocol in the shutdown process and won't appear in logs 
Dubbo,SATD,//  TODO can we load successfully for a different classloader?. 
Dubbo,SATD,// The status input has a problem and the read information is wrong when the serialization is serialized. 
Dubbo,SATD,//  FIXME: not sure why AbstractReferenceConfig has both isGeneric and getGeneric 
Dubbo,SATD,//  FIXME result is an AsyncRpcResult instance. 
Dubbo,SATD,//  FIXME should cancel and restart timer tasks if parameters in the new URL are different? 
Dubbo,SATD,/*  * TODO Extract more code here if necessary  */
Dubbo,SATD,//  FIXME RMI protocol doesn't support casting to EchoService yet. 
Dubbo,SATD,//  dubbo's original impl can't support the use of ServletContext          server.addHandler(servletHandler); 
Dubbo,SATD,//  Deprecated! Subscribe to override rules in 2.6.x or before. 
Dubbo,SATD,//  Subscribe the override data   FIXME When the provider subscribes it will affect the scene : a certain JVM exposes the service and call    the same service. Because the subscribed is cached key with the name of the service it causes the 
Dubbo,SATD,/*      * Should be called after Config was fully initialized.     * // FIXME: this method should be completely replaced by appendParameters     *     * @return     * @see AbstractConfig#appendParameters(Map Object String)     * <p>     * Notice! This method should include all properties in the returning map treat @Parameter differently compared to appendParameters.      */
Dubbo,SATD,// TODO Can the value returned by getChannel() be null? need improvement. 
Dubbo,SATD,//  TODO to support wildcards 
Dubbo,SATD,//  FIXME: cannot guarantee the sequence of the merge result check implementation in   MergeableClusterInvoker#invoke 
Dubbo,SATD,//  FIXME Is there any need of failing back to Constants.ANY_VALUE or the first available method invokers when invokers is null? 
Dubbo,SATD,//  TODO more configs to add 
Dubbo,SATD,//  BuG: DUBBO-146 Provider doesn't have exception output and consumer has timeout error when serialization fails
Dubbo,SATD,//  FIXME There's no place to release connectionExecutor! 
Dubbo,SATD,//  TODO: refactor it 
Dubbo,SATD,/*  * TODO this may not be a pretty elegant solution *  */
Dubbo,SATD,//  FIXME log error info in Codec and put all error handle logic in IoHanndler? 
