projectname,classification,commenttext
Columba,DESIGN,// TODO (@author fdietz): should be removed if we only use // Streams!
Columba,DESIGN,// FIXME (@author karlpeder): Is 3.2 the proper version of html to refer to?
Columba,DESIGN,// this is a hack for the multiline column
Columba,DESIGN,//TODO (@author tstich): do something
Columba,DESIGN,// TODO (@author fdietz): i18n
Columba,DESIGN,// FIXME remove method // toolbarPane.add(c);
Columba,DESIGN,//TODO (@author fdietz): i18n
Columba,DESIGN,// TODO @author hubms: copied from frederiks search builder
Columba,DESIGN,// real stupid recreation of whole list model // -> replace with id-based listmodel update
Columba,DESIGN,// TODO (@author karlpeder): Extend handling of special entities as in restoreSpecialCharacters
Columba,DESIGN,"/**     * Transforms email-addresses into HTML just as     * substituteEmailAddress(String) but tries to ignore email-addresses     * which are already links if the ignore links flag is set.     * <br>     * This extended functionality is necessary when parsing a text which     * is already (partly) html.     * <br>     * FIXME: Can this be done smarter i.e. directly with reg. expr. without manual parsing??     *     * @param         s                                input text     * @param        ignoreLinks                if true link tags are ignored. This gives a     *                                                         wrong result if some e-mail adresses are     *                                                         already links (but uses reg. expr. directly     *                                                         and is therefore faster)     * @return        text with email-adresses transformed to links     */"
Columba,DESIGN,//TODO: Return content encoding according to the mime part in the mail
Columba,DESIGN,//TODO: Return content type according to the mime part in the mail
Columba,DESIGN,// hack to support dockable view title update // TODO replace with listener pattern
Columba,DESIGN,/*TODO stop polling thread?! */
Columba,DESIGN,// TODO @author hubms: bad: if there is a icon it is tagged or // not
Columba,DESIGN,// TODO categoryEnumeration
Columba,DESIGN,// hack: if start and end time is at 00:00:00:000 it is // an all day event
Columba,DESIGN,// register interest on store changes // TODO the dependency should be the other way around
Columba,DESIGN,// TODO: fix layout to look good even if there's not enough information provided
Columba,DESIGN,// FIXME: ugly cast to ContactModel
Columba,DESIGN,// @TODO dont use deprecated method
Columba,DESIGN,/* TODO must get polling interval from config file */
Columba,DESIGN,//      TODO: reactivate when feature is supported
Columba,DESIGN,// If this folder has children add them // TODO: In the future we should try to fetch additional children on demand // when the tree of the dialog is opened
Columba,DESIGN,// TODO (@author fdietz): Add more special entities - e.g. accenture chars such as ?
Columba,DESIGN,// TODO (@author waffel): encrypt AND sign dosN#t work. The message is // always only // encrypted. We need a function that knows here // is an encrypted AND signed Message. Thus first encyrpt and then // verifySign the message // if this message is signed/encrypted we have to use // GnuPG to extract the decrypted bodypart // - multipart/encrypted // - multipart/signed
Columba,DESIGN,"/**     * Transforms urls into HTML just as substituteURL(String)     * but tries to ignore urls which are already links if the ignore     * links flag is set.     * <br>     * This extended functionality is necessary when parsing a text which     * is already (partly) html.     * <br>     * FIXME: Can this be done smarter i.e. directly with reg. expr. without manual parsing??     *     * @param         s                                input text     * @param        ignoreLinks                if true link tags are ignored. This gives a     *                                                         wrong result if some urls are already links     *                                                         (but uses reg. expr. directly and is     *                                                         therefore faster)     * @return        text with urls     */"
Columba,DESIGN,// TODO @author fdietz: ensure that we don't fetch individual // headers // to reduce client/server roundtrips
Columba,DESIGN,// ??? bad to have release hardocoded here. Fix later...right.
Columba,DESIGN,//TODO: Open stream from the mime part specified by contentID of the  //currently viewed mail
Columba,DESIGN,// something is very wrong here
Columba,DESIGN,// its maybe better to leave this option out of the dialog // -> make it configurable in the xml file anyway
Columba,DESIGN,// TODO: Make this hack more i18n compatible
Columba,DESIGN,/*TODO move resources to a resource file */
Columba,DESIGN,// TODO: use UndoableEditEvent to make this really work
Columba,DESIGN,// TODO: Should we take some action to ensure signature is valid // html?
Columba,DESIGN,/* XXX should this be fired by a different thread? */
Columba,DESIGN,//TODO:add a configuration of the cache size
Columba,DESIGN,"/**	 * Command executes the search.	 * <p>	 * In case new result results arrive it ensures that all interested	 * listeners are notified from inside the EDT.	 * <p>	 * FIXME: fdietz: No locking of folders currently implemented! TODO: fdietz:	 * create new Command for every provider to introduce real ""parallel"" search	 * 	 * @author fdietz	 */"
Columba,DESIGN,/*XXX this is not thread-safe though luck. It isn't supposed to be. */
Columba,DESIGN,// TODO (@author fdietz): move this to AbstractMessageFolder constructor
Columba,DESIGN,//TODO: Should this be renamed to cLoc or something more appropriate than clock?
Columba,DESIGN,"/*         * TODO (@author karlpeder): Guess that right thing to do is to get height as getDrawingSize().getHeight()         * since this should take top- and bottom margin of this print         * object into account. But the height seems not to be set         * correctly in computePositionAndSize() (*20030604 karlpeder*)         */"
Columba,DESIGN,// we can't use SystemClassLoader here because that // wouldn't work with java webstart // ResourceBundle uses its own internal classloader // if no classloader is given //  -> set classloader = null
Columba,DESIGN,//  // Note: We intentionally don't remember internal plugins because // we don't want them to appear in the plugin manager currently. //  // TODO: improve plugin manager dialog to support internal plugins // which can't be removed etc.
Columba,DESIGN,// FIXME calendar?
Columba,DESIGN,// TODO @author hubms have this flags until the speed of the entitymanager // is improved
Columba,DESIGN,// cleanup: remove port number file
Columba,DESIGN,// TODO: There's probably a better way to do this hack...
Columba,DESIGN,"/*TODO before inserting find out if there's already a menu item     * with the same action command. if so replace it otherwise insert new     */"
Columba,DESIGN,// TODO (@author fdietz): add import feature
Columba,DESIGN,// TODO (@author hubms): implement custom menuitem renderer
Columba,DESIGN,// TODO @author fdietz: no paging used currently // show only first 5 results
Columba,DESIGN,// real stupid recreation of whole menu model
Columba,DESIGN,// TODO: throw IllegalArgumentException in case a variable == null
Columba,DESIGN,//TODO (@author fdietz): associate help with button and root pane
Columba,DESIGN,// FIXME -- This will most likely not work. //          You want the element removed if the contents are the same //          Not just if the element reference is the same.
Columba,DESIGN,// // @author: fdietz // using shutdown-manager is wrong here because this // automatically also calls the FrameManager which  // also starts a second shutdown thread // -> This leads into two parallel shutdown thread which // -> is why sometimes config-files etc. get messed up //
Columba,DESIGN,// @author fdietz: hackish way of creating a search toolbar //JToolBar searchToolBar = new ExtendableToolBar();
Columba,DESIGN,"/** * A Command uses the information provided from {@link DefaultCommandReference} * to execute itself. * <p> * TODO: remove IFrameMediator dependency *  * @author Timo Stich <tstich@users.sourceforge.net> */"
Columba,DESIGN,// manually rewrite the connection url because // if there is no rewrite the database files are created // in the starting directory we don't want that!
Columba,DESIGN,// TODO: fix updateActions //enableActions(getCurrentOwner());
Columba,DESIGN,// TODO: @author hubms check what is neccessary // remove old filters // searchFolder.getFilter().getFilterRule().removeAll(); // add filter criteria // searchFolder.getFilter().getFilterRule().add(c);
Columba,DESIGN,//TODO Let the AttachmentViewer get the focus so that this works
Columba,DESIGN,//TODO: Open in message frame //TODO: Handle also message attachments from OpenInComposer action
Columba,DESIGN,// TODO (@author fdietz): add central place which keeps a list of all possible //       colors and provides a custom color configuration possibility
Columba,DESIGN,// TODO (@author fdietz): implement custom menuitem renderer
Columba,DESIGN,// FIXME (@author fdietz): Do we need this implementation in a TempFolder? // If not just put an empty method here just like in VirtualFolder.
Columba,DESIGN,// TODO Ristretto should handle the logging of streams in another // way.
Columba,DESIGN,// TODO (@author fdietz): All this code for creating a new // IMAPRootFolder should // be moved to a FolderFactory // -> this way "path" would be handled in the factory too // parent directory for mail folders // for example: ".columba/mail/" // String path = // MailConfig.getInstance().getConfigDirectory().getPath();
Columba,DESIGN,// turn of focus stealing (workaround should be removed in the // future!)
Columba,DESIGN,// wait if there is an active transaction // TODO @author hubms retrycount!
Columba,DESIGN,"/**	 * this regular expression should cover anything from a@a.pt or a@a.com to	 * a@a.info. Permits usage of invalid top domains though.	 * <p>	 * [bug] fdietz: added ""."" and ""-"" as regular characters	 * (example:mail@toplevel.mail.de)	 * <p>	 * TODO: see if we can replace the matching code with Ristretto stuff	 *	 */"
Columba,DESIGN,// @author: fdietz // This is a workaround. Generally the contact dialog editor // should ensure that all necessary fields are available //
Columba,DESIGN,// TODO: replace view with more detailed info view
Columba,DESIGN,// TODO we should check if we need an vector or better another list // implementation; checking also if the list // must be syncronized or not (performance)
Columba,DESIGN,// FIXME is this correct for
Columba,DESIGN,//TODO externalize string //$NON-NLS-1$
Columba,DESIGN,// TODO: multiplicity checks
Columba,DESIGN,// TODO (@author fdietz): until we can get all the settings update // immediately // we just open a message box telling the user to restart
Columba,DESIGN,// TODO: real IM status here
Columba,DESIGN,// FIXME: should we align the menu to the left instead? // menu.show(b b.getWidth() - menu.getWidth() b.getHeight());
Columba,DESIGN,// @author: tstich // Its better to call the Shutdownmanager // since the above is called automatically from it. // ShutdownManager is modified to allow one shutdown // call only so we never should have multi-shutdown // problems again.
Columba,DESIGN,/* TODO should come up with a better name for the menu item */
Columba,DESIGN,// TODO (@author fdietz): add export feature
Columba,DESIGN,// Since Columba is doing its own logging handlers we should not // use handlers in the parent logger.
Columba,DESIGN,// The JavaHelp can't be added to a BorderLayout because it // isnt' a component. For this demo we'll use the embeded method // since we don't want a Frame to be created.
Columba,DESIGN,// @author: fdietz // // PROBLEM: Extensions don't run using Java Webstart (JWS) //  // Even though we assign "all-permission" in our columba.jnlp file this // only applies // to the initial Java Webstart classloader. But we create our own // classloaders for // loading extensions. These classloaders don't have the same permission // settings anymore.
Columba,DESIGN,// what to do here? we could start a new server...
Columba,DESIGN,// WORKAROUND: //  // System.setSecurityManager(null); // // This call effectly disables the sandbox mode and seems to work fine. // // Below I use another way. The policy for all classloaders is set to // "all-permissions". // Don't really know the difference though.
Columba,DESIGN,// For the Mac ScreenBarMenus to work this must be declared before // *ANY* AWT / Swing gets initialised. Do *NOT* move it to plugin init // location because that is too late...
Columba,DESIGN,// kids - don't do this at home
Columba,DESIGN,// @author: fdietz // // The following line is not working - just don't know why // Main.mainClassLoader.addURLs((URL[]) urlList.toArray(new URL[0])); // // WORKAROUND: // // Modify the system class loader instead - horrible! But it works!
Columba,DESIGN,// // @author: fdietz // WORKAROUND: // we simply append URLs to the existing global class loader // and use the same as parent //  // Note that we create a new URL classloader for every class // we instanciate. We might want to support hot-swapping // of changed classes later.
Columba,DESIGN,// we can't use SystemClassLoader here because that doesn't work // with java webstart // -> instead we use this.getClass().getClassLoader() // -> which seems to work perfectly
Columba,DESIGN,// TODO (@author karlpeder): If existing meta tags are to be kept code changes are // necessary
Columba,DESIGN,/* TODO create exception for this */
Columba,DESIGN,// TODO (@author javaprog): better exception handling
Columba,DESIGN,// TODO (@author fdietz): fix account info panel check
Columba,DESIGN,// TODO (@author fdietz): move this to AbstractMessageFolder constructor // create filterlist datastructure
Columba,IMPLEMENTATION,// TODO: @author fdietz replace with regular expression
Columba,IMPLEMENTATION,// TODO implement me!
Columba,IMPLEMENTATION,//TODO (@author fdietz): implement
Columba,IMPLEMENTATION,// TODO implement validation
Columba,IMPLEMENTATION,"/**	 * 	 * create Subject headerfield in using the senders message subject and	 * prepending ""Fwd:"" if not already there	 * 	 * @param header	 *            A <code>ColumbaHeader</code> which contains the headerfields	 *            of the message we want reply/forward.	 * 	 * FIXME (@author fdietz): we need to i18n this!	 * 	 */"
Columba,IMPLEMENTATION,// TODO finish marshalling of all available properties
Columba,IMPLEMENTATION,// TODO finish unmarshalling of all available properties
Columba,IMPLEMENTATION,// TODO implement
Columba,IMPLEMENTATION,// TODO: implement this
Columba,IMPLEMENTATION,"/**	 * 	 * create subject headerfield in using the senders message subject and	 * prepending ""Re:"" if not already there	 * 	 * @param header	 *            A <code>ColumbaHeader</code> which contains the headerfields	 *            of the message we want reply/forward.	 * 	 * FIXME (@author fdietz): we need to i18n this!	 */"
Columba,IMPLEMENTATION,// TODO (@author karlpeder): Implementation of undo/redo missing
Columba,IMPLEMENTATION,// html - quoting is done by inserting a div around the // message formattet with a blue line at left edge // TODO (@author fdietz): Implement quoting (font color stylesheet // blockquote???)
Columba,IMPLEMENTATION,// TODO (@author fdietz): show error dialoghere
Columba,IMPLEMENTATION,// TODO (@author fdietz): add error dialog
Columba,IMPLEMENTATION,// TODO: Show dialog
Columba,IMPLEMENTATION,// TODO (@author fdietz): make i18n!
Columba,IMPLEMENTATION,// TODO (@author javaprog):sizeComboBox can be enabled as // paragraphComboBox when implemented
Columba,IMPLEMENTATION,//TODO: Add dialog to inform user that the smtp server // does not support authentication
Columba,IMPLEMENTATION,// TODO @author hubms show if there is already a virtual folder for // this tag
Columba,IMPLEMENTATION,// update status message // TODO (@author fdietz): i18n
Columba,IMPLEMENTATION,//TODO (@author fdietz): keep track of progress here
Columba,IMPLEMENTATION,// TODO localize filter action names
Columba,IMPLEMENTATION,//TODO (@author fdietz):  i18n
Columba,IMPLEMENTATION,// TODO implement clear()
Columba,IMPLEMENTATION,// TODO (@author fdietz):: implement action for font size combo box!
Columba,IMPLEMENTATION,// TODO (@author fdietz):  i18n
Columba,IMPLEMENTATION,// FIXME threaded-view auto collapse
Columba,WITHOUT_CLASSIFICATION,// get selected folder
Columba,WITHOUT_CLASSIFICATION,// Create a FormLayout instance.
Columba,WITHOUT_CLASSIFICATION,// g2.setColor(fillColor); // g2.fillRect(00wh);
Columba,WITHOUT_CLASSIFICATION,// no filterlist treenode found // -> create a new one
Columba,WITHOUT_CLASSIFICATION,// associate with JavaHelp
Columba,WITHOUT_CLASSIFICATION,// if it is in a scroll pane then we add to the end of the // list.
Columba,WITHOUT_CLASSIFICATION,// try to get instance of FilterAction
Columba,WITHOUT_CLASSIFICATION,// remove from header-list
Columba,WITHOUT_CLASSIFICATION,// notify folder tree model
Columba,WITHOUT_CLASSIFICATION,// ---- telephoneTextField2 ----
Columba,WITHOUT_CLASSIFICATION,// set component values
Columba,WITHOUT_CLASSIFICATION,// write text to file
Columba,WITHOUT_CLASSIFICATION,// cancel
Columba,WITHOUT_CLASSIFICATION,// user didn't select any folder // -> make Inbox the default folder
Columba,WITHOUT_CLASSIFICATION,// ---- fullnameButton ----
Columba,WITHOUT_CLASSIFICATION,// all / match any JComboBox
Columba,WITHOUT_CLASSIFICATION,// *20030926 karlpeder* Added html support // MimePart mp = tree.getFirstTextPart("plain");
Columba,WITHOUT_CLASSIFICATION,// remove XmlElement
Columba,WITHOUT_CLASSIFICATION,// check if firstname middlename or lastname contain only valid // characters
Columba,WITHOUT_CLASSIFICATION,//String userVisibleName = pluginHandler.getUserVisibleName(id);
Columba,WITHOUT_CLASSIFICATION,// filter description JTextField
Columba,WITHOUT_CLASSIFICATION,"/*				 * c.gridx = GridBagConstraints.REMAINDER; c.anchor =				 * GridBagConstraints.NORTHEAST; gridbag.setConstraints(				 * removeButton c ); panel.add( removeButton );				 */"
Columba,WITHOUT_CLASSIFICATION,"/*			 * *20040210 karlpeder* Remove html comments - they are not			 * displayed properly in the composer			 */"
Columba,WITHOUT_CLASSIFICATION,// get values from components
Columba,WITHOUT_CLASSIFICATION,// ->set source reference in composermodel // when replying this is the original sender's message // you selected and replied to
Columba,WITHOUT_CLASSIFICATION,// int type = action.getActionInt();
Columba,WITHOUT_CLASSIFICATION,// ---- calendarLabel ----
Columba,WITHOUT_CLASSIFICATION,// JCheckBox overwriteOptionsCheckBox;
Columba,WITHOUT_CLASSIFICATION,// Date header // we got a date header (store this // fact for later use
Columba,WITHOUT_CLASSIFICATION,// iterate through all foldertypes to find suitable ones
Columba,WITHOUT_CLASSIFICATION,"/*			 * BufferedReader in = new BufferedReader( new InputStreamReader(			 * new FileInputStream(file) model.getCharsetName()));			 */"
Columba,WITHOUT_CLASSIFICATION,// getting next node
Columba,WITHOUT_CLASSIFICATION,// Add child to parent
Columba,WITHOUT_CLASSIFICATION,// Do decoding stuff
Columba,WITHOUT_CLASSIFICATION,// table registers interest in tree selection events
Columba,WITHOUT_CLASSIFICATION,// enabled/disabled
Columba,WITHOUT_CLASSIFICATION,"/* (non-Javadoc)   * @see org.columba.core.filter.IFilterList#remove(int)   */"
Columba,WITHOUT_CLASSIFICATION,// criteria.setPattern((String) textField.getText());
Columba,WITHOUT_CLASSIFICATION,"// create config-folder //		File file = new File(""test_config""); //		file.mkdir(); // //		new Config(file); // //		Logging.DEBUG = true; //		Logging.createDefaultHandler(); // //		// init mail component //		new MailMain().init(); //		new AddressbookMain().init(); // //		// now load all available plugins //		PluginManager.getInstance().initExternalPlugins();"
Columba,WITHOUT_CLASSIFICATION,// Fall back to today
Columba,WITHOUT_CLASSIFICATION,// ensure tzid matches date-time timezone.. // Parameter tzId = dtEnd1.getParameters().getParameter( // Parameter.TZID);
Columba,WITHOUT_CLASSIFICATION,// create a form builder
Columba,WITHOUT_CLASSIFICATION,// get root folder
Columba,WITHOUT_CLASSIFICATION,// wrong xml-format
Columba,WITHOUT_CLASSIFICATION,// create mandatory IMAP Inbox folder
Columba,WITHOUT_CLASSIFICATION,"/*TitledBorder etched = javax.swing.BorderFactory.createTitledBorder(javax.swing.BorderFactory.createEtchedBorder() "" Login "");centerPanel.setBorder( etched );*/"
Columba,WITHOUT_CLASSIFICATION,//private JLabel enableTextIndexingLabel;
Columba,WITHOUT_CLASSIFICATION,"//		TagList tagList = new ContactTagList(this); //		JScrollPane tagListScrollPane = new JScrollPane(tagList); //		tagListScrollPane.setHorizontalScrollBarPolicy(JScrollPane.HORIZONTAL_SCROLLBAR_NEVER); //		tagListScrollPane //				.setBorder(BorderFactory.createEmptyBorder(0 0 0 0));"
Columba,WITHOUT_CLASSIFICATION,// couldn't find folder associated with this uid // -> open the select folder dialog
Columba,WITHOUT_CLASSIFICATION,//mod: 20040629 SWITT for redirecting feature //If FROM value was set take this as From else take Identity
Columba,WITHOUT_CLASSIFICATION,// Add the custom color item.
Columba,WITHOUT_CLASSIFICATION,// treePathButton.setMargin(new Insets(0000));
Columba,WITHOUT_CLASSIFICATION,// use "mark as read" as default fallback mechanism
Columba,WITHOUT_CLASSIFICATION,//      ->set source reference in composermodel // when replying this is the original sender's message // you selected and replied to
Columba,WITHOUT_CLASSIFICATION,// focus name textfield
Columba,WITHOUT_CLASSIFICATION,// 3 columns //$NON-NLS-1$
Columba,WITHOUT_CLASSIFICATION,// add message to folder
Columba,WITHOUT_CLASSIFICATION,// associate inbox with root folder
Columba,WITHOUT_CLASSIFICATION,// @author tstich: Added Lucene gui element here //builder.add(enableTextIndexingLabel cc.xy(2 13));
Columba,WITHOUT_CLASSIFICATION,// Where in the drag image the mouse was clicked
Columba,WITHOUT_CLASSIFICATION,// which parents are possible ?
Columba,WITHOUT_CLASSIFICATION,// select new item
Columba,WITHOUT_CLASSIFICATION,// Create a FormLayout instance. //$NON-NLS-1$
Columba,WITHOUT_CLASSIFICATION,// attachments found... // insert start and end for html
Columba,WITHOUT_CLASSIFICATION,// return the result as boolean value true or false
Columba,WITHOUT_CLASSIFICATION,// you need a sound.wav in your program folder
Columba,WITHOUT_CLASSIFICATION,// convert the condition string to an int which is easier to handle
Columba,WITHOUT_CLASSIFICATION,// public abstract IHeaderListStorage getHeaderListStorage();
Columba,WITHOUT_CLASSIFICATION,// just a simple example
Columba,WITHOUT_CLASSIFICATION,// parent directory for mail folders // for example: ".columba/mail/"
Columba,WITHOUT_CLASSIFICATION,// Logging.log.severe("Error parsing body for attachments" e);
Columba,WITHOUT_CLASSIFICATION,// create copy command
Columba,WITHOUT_CLASSIFICATION,// debug messages for diagnostics
Columba,WITHOUT_CLASSIFICATION,// Server does not support UTF-8 // -> fall back to System default
Columba,WITHOUT_CLASSIFICATION,// adjust description field
Columba,WITHOUT_CLASSIFICATION,// If the cause is a SMTPExcpetion then only password // wrong // else bogus authentication mechanism
Columba,WITHOUT_CLASSIFICATION,// Groups are separated by at least one WS character
Columba,WITHOUT_CLASSIFICATION,// VALIDATION DISABLE ! Sebastian Witt 25.07.04 // "NAME" <email@somewhat.de> isnt true which should :( // root@localhost is valid but not with this check. :( // root is also valid (with local mailserver) but not with this check // :(
Columba,WITHOUT_CLASSIFICATION,// charset is specified - find it
Columba,WITHOUT_CLASSIFICATION,// setPreferredSize(new Dimension(250 300));
Columba,WITHOUT_CLASSIFICATION,// add email addresses
Columba,WITHOUT_CLASSIFICATION,// Logging.log.severe( // "Error while looking for charset" // e);
Columba,WITHOUT_CLASSIFICATION,"/*         * buffer.append(getShortClassName(record.getSourceClassName()));         * buffer.append("".""); buffer.append(record.getSourceMethodName());         * buffer.append("" - "");         */"
Columba,WITHOUT_CLASSIFICATION,// roll correctly over years
Columba,WITHOUT_CLASSIFICATION,//$NON-NLS-1$ //enableLabel.setFont(boldFont);
Columba,WITHOUT_CLASSIFICATION,// bottom.add( Box.createHorizontalGlue() );
Columba,WITHOUT_CLASSIFICATION,// user changed folder name
Columba,WITHOUT_CLASSIFICATION,// Encrypt the cleartext
Columba,WITHOUT_CLASSIFICATION,// create EmptyBorder between components and dialog-frame
