Training project, P, R, F1
Ant, 0.44285714285714284, 0.4189189189189189, 0.4305555555555556
ArgoUML, 0.125, 0.7162162162162162, 0.21285140562248997
Columba, 0.16015625, 0.5540540540540541, 0.2484848484848485
EMF, 0.7010309278350515, 0.918918918918919, 0.7953216374269005
Hibernate, 0.12307692307692308, 0.5405405405405406, 0.20050125313283207
JEdit, 0.1396103896103896, 0.581081081081081, 0.225130890052356
JFreeChart, 0.2138728323699422, 0.5, 0.2995951417004049
JMeter, 0.19318181818181818, 0.4594594594594595, 0.272
JRuby, 0.22093023255813954, 0.5135135135135135, 0.3089430894308943
SQuirrel, 0.17346938775510204, 0.4594594594594595, 0.2518518518518518
Dubbo, 0.16463414634146342, 0.36486486486486486, 0.22689075630252103
Gradle, 0.20689655172413793, 0.16216216216216217, 0.18181818181818182
Groovy, 0.3116883116883117, 0.32432432432432434, 0.31788079470198677
Hive, 0.1651376146788991, 0.4864864864864865, 0.2465753424657534
Maven, 0.06763285024154589, 0.1891891891891892, 0.09964412811387899
Poi, 0.23529411764705882, 0.3783783783783784, 0.2901554404145078
SpringFramework, 0.5740740740740741, 0.4189189189189189, 0.48437499999999994
Storm, 0.23776223776223776, 0.4594594594594595, 0.3133640552995392
Tomcat, 0.20786516853932585, 0.5, 0.29365079365079366
Zookeeper, 0.24, 0.40540540540540543, 0.3015075376884422
