class-att,fix,hack,should,todo,workaround
1,0,0,2.641372,2.502278,0
1,0,0,0,2.502278,0
1,0,0,0,0,0
1,0,0,2.641372,2.502278,0
1,0,0,0,2.502278,0
1,0,0,0,2.502278,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,4.104061,0,2.502278,0
1,0,0,2.641372,2.502278,0
1,0,0,0,2.502278,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,2.502278,0
1,0,0,2.641372,2.502278,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,2.502278,0
1,0,0,0,2.502278,0
1,0,0,0,0,0
1,0,0,2.641372,2.502278,0
1,0,0,0,2.502278,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,4.104061,0,0,0
1,0,0,2.641372,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,2.502278,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,2.502278,0
1,0,0,0,2.502278,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,2.502278,0
1,0,0,0,2.502278,0
1,0,0,0,2.502278,0
1,0,0,0,0,0
1,0,0,2.641372,0,0
1,0,0,0,2.502278,0
1,0,0,0,2.502278,0
1,0,0,0,0,0
1,0,0,0,2.502278,0
1,0,0,0,2.502278,0
1,0,0,0,0,0
1,0,0,0,2.502278,0
1,0,0,0,2.502278,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,2.502278,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.641372,2.502278,0
1,0,0,2.641372,2.502278,0
1,0,0,2.641372,2.502278,0
1,0,0,0,0,0
1,0,0,0,0,0
1,3.997212,0,0,2.502278,0
1,3.997212,0,0,2.502278,0
1,0,0,2.641372,2.502278,0
1,0,0,0,0,0
1,0,4.104061,0,0,0
1,0,0,0,0,0
1,0,0,0,2.502278,0
1,0,0,2.641372,2.502278,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.641372,2.502278,0
1,0,0,4.186476,0,0
1,0,0,0,0,0
1,0,0,0,2.502278,0
1,0,0,0,2.502278,0
1,0,0,2.641372,2.502278,0
