class-att,fix,hack,should,todo,workaround
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.290983,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,2.094169,0
1,0,0,0,2.094169,0
1,0,0,0,0,0
1,0,0,0,2.094169,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.290983,0,0
1,0,0,0,2.094169,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.290983,0,0
1,0,0,3.631123,2.094169,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.290983,2.094169,0
1,0,0,0,0,0
1,3.856652,0,0,0,0
1,0,0,2.290983,0,0
1,0,3.644978,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,3.644978,0,0,0
1,0,0,0,2.094169,0
1,0,0,0,2.094169,0
1,0,3.644978,0,0,0
1,0,0,0,2.094169,0
1,0,0,3.631123,0,0
1,0,0,0,2.094169,0
1,0,0,2.290983,0,0
1,0,0,0,2.094169,0
1,0,0,0,0,0
1,0,0,2.290983,0,0
1,0,0,2.290983,0,0
1,0,0,0,2.094169,0
1,0,0,0,2.094169,0
1,0,0,0,2.094169,0
1,0,0,0,2.094169,0
1,0,0,0,0,0
1,0,0,0,2.094169,0
1,0,0,0,0,0
1,0,0,2.290983,0,0
1,0,0,0,0,0
1,0,0,0,2.094169,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,3.644978,0,0,0
1,0,0,0,2.094169,0
1,0,0,0,2.094169,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,2.094169,0
1,0,0,0,2.094169,0
1,0,0,2.290983,0,0
1,0,0,0,3.319179,0
1,0,0,0,0,0
1,0,0,0,2.094169,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,4.924407
1,0,0,0,0,0
1,0,0,0,2.094169,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.290983,0,0
1,0,0,2.290983,2.094169,0
1,0,0,0,2.094169,0
1,0,0,0,0,0
1,0,0,0,2.094169,0
1,0,0,0,2.094169,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,2.094169,0
1,0,0,0,0,4.924407
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.290983,0,0
1,3.856652,0,0,0,0
1,0,0,0,0,0
1,0,0,0,2.094169,0
1,0,0,0,2.094169,0
1,0,0,0,0,0
1,0,0,2.290983,2.094169,0
1,0,0,0,0,0
1,0,0,2.290983,2.094169,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,3.644978,0,0,0
1,0,0,0,0,0
1,0,0,0,2.094169,0
1,0,0,0,2.094169,0
1,0,0,0,2.094169,0
1,3.856652,0,0,0,0
1,0,0,0,0,4.924407
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.290983,2.094169,0
1,0,0,0,0,0
1,0,0,2.290983,0,0
1,0,0,2.290983,0,0
1,0,0,0,0,0
1,0,0,2.290983,0,0
1,0,0,0,2.094169,0
1,0,0,0,0,0
1,0,0,0,2.094169,0
1,0,0,2.290983,2.094169,0
1,0,0,0,0,0
1,0,0,3.631123,2.094169,0
1,0,0,0,0,0
1,0,0,0,2.094169,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,2.094169,0
1,0,0,2.290983,2.094169,0
1,0,0,0,0,0
1,0,0,2.290983,2.094169,0
1,0,0,0,0,0
1,0,3.644978,0,2.094169,0
1,0,0,0,2.094169,0
1,0,3.644978,0,0,0
1,0,0,0,2.094169,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.290983,2.094169,0
1,0,0,2.290983,0,0
1,0,0,2.290983,0,0
1,0,5.777153,0,0,0
1,0,0,0,2.094169,0
1,0,0,2.290983,0,0
1,0,0,0,0,0
1,0,0,0,2.094169,0
1,0,0,0,2.094169,0
1,0,0,0,0,0
1,0,0,0,2.094169,0
1,0,3.644978,0,0,0
1,3.856652,0,0,2.094169,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,2.094169,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,3.631123,2.094169,0
1,0,0,0,2.094169,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.290983,0,0
1,0,0,2.290983,2.094169,0
1,0,0,0,0,0
1,0,0,0,2.094169,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,2.094169,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,3.319179,0
1,0,0,0,0,0
1,0,3.644978,0,0,0
1,0,0,2.290983,0,0
1,0,0,0,2.094169,0
1,0,0,0,2.094169,0
1,0,0,0,0,0
1,0,0,0,2.094169,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,2.094169,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.290983,0,0
1,0,0,0,0,0
1,0,0,4.581967,0,0
1,0,0,0,2.094169,0
1,0,0,0,0,0
1,0,0,0,2.094169,0
1,0,0,0,2.094169,0
1,0,3.644978,0,0,0
1,0,3.644978,0,0,0
1,0,0,0,0,0
1,0,0,0,2.094169,0
1,0,0,0,2.094169,0
1,0,0,0,2.094169,0
1,0,0,0,0,0
1,0,0,0,2.094169,0
1,0,0,0,2.094169,0
1,0,0,0,0,0
1,0,0,2.290983,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,4.188337,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.290983,0,0
1,0,0,2.290983,0,0
1,0,0,0,0,0
1,0,0,0,2.094169,0
1,0,0,0,0,0
1,0,0,2.290983,0,0
1,0,0,0,2.094169,0
1,0,0,0,0,0
1,0,0,0,2.094169,0
1,0,0,2.290983,2.094169,0
1,0,0,0,0,0
1,0,0,0,2.094169,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,2.290983,0,0
1,0,0,0,2.094169,0
1,0,0,0,0,0
1,0,0,0,2.094169,0
1,0,0,0,2.094169,0
1,0,0,0,0,0
1,0,3.644978,2.290983,0,0
