class-att,fix,hack,should,todo,workaround
1,0,0,2.809756,2.615248,0
1,0,0,0,0,0
1,0,4.415618,0,0,0
1,0,0,0,2.615248,0
1,0,0,0,2.615248,0
1,0,0,0,0,0
1,0,0,0,2.615248,0
1,0,0,0,2.615248,0
1,0,0,0,0,0
1,0,0,0,2.615248,0
1,0,0,0,0,0
1,0,0,0,2.615248,0
1,0,0,0,2.615248,0
1,0,4.415618,0,2.615248,0
1,0,0,0,2.615248,0
1,0,0,0,2.615248,0
1,0,0,0,2.615248,0
1,0,4.415618,0,0,0
1,0,0,2.809756,2.615248,0
1,4.102326,0,0,2.615248,0
1,0,0,0,0,0
1,0,0,0,2.615248,0
1,0,0,0,2.615248,0
1,0,0,0,2.615248,0
1,0,0,2.809756,2.615248,0
1,0,0,0,2.615248,0
1,0,0,0,2.615248,0
1,0,0,0,0,0
1,0,0,0,2.615248,0
1,4.102326,0,0,0,0
1,0,0,0,2.615248,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,4.415618,0,2.615248,0
1,0,0,0,2.615248,0
1,0,0,0,2.615248,0
1,0,0,2.809756,2.615248,0
1,0,0,2.809756,0,0
1,0,0,0,0,0
1,0,0,0,2.615248,0
1,0,0,0,0,0
1,0,0,0,2.615248,0
1,0,0,2.809756,2.615248,0
1,0,0,2.809756,2.615248,0
1,0,0,0,0,0
1,0,0,0,2.615248,0
1,0,0,0,0,0
1,0,0,0,2.615248,0
1,0,0,0,0,0
1,0,4.415618,0,2.615248,0
1,0,0,0,2.615248,0
1,0,0,0,2.615248,0
1,0,0,0,2.615248,0
1,0,0,0,2.615248,0
1,0,0,0,0,0
1,0,0,0,2.615248,0
1,0,0,0,2.615248,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,2.615248,0
1,0,0,0,0,0
1,4.102326,0,0,2.615248,0
1,0,0,0,2.615248,0
1,0,0,0,2.615248,0
1,0,0,0,4.14507,0
1,0,0,0,2.615248,0
1,0,0,0,2.615248,0
1,0,0,0,0,0
1,0,0,2.809756,2.615248,0
1,0,0,2.809756,2.615248,0
1,0,0,2.809756,0,4.648843
1,0,0,0,2.615248,0
1,0,0,2.809756,2.615248,0
1,0,0,2.809756,0,4.648843
1,0,0,0,2.615248,0
1,0,0,2.809756,2.615248,0
1,0,0,0,0,0
1,0,0,0,2.615248,0
1,0,0,0,2.615248,0
1,0,0,0,2.615248,0
1,0,0,0,2.615248,0
1,0,0,2.809756,0,0
1,0,0,2.809756,0,0
1,0,0,2.809756,2.615248,0
1,0,0,0,2.615248,0
1,0,0,2.809756,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,4.648843
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,4.648843
1,0,0,0,0,4.648843
