@relation 'technicalDebt'

@attribute Text string
@attribute class-att {negative,positive}

@data

'todo extensions like flex mojos use custom scopes like merged internal external etc order dont break backwardcompat with those only warn but dont error out ',positive
'todo this needs accept link returned link but its not used like that ',positive
'its the building the grandchild project having already cached the child project but not the parent project which causes the problem ',positive
'todo would like get rid this jvz ',positive
'note this should considered quirk support interop with mavens legacy artifactdeployer which processes one artifact time and hence cannot associate the artifacts from the same project use the same timestampbuildno for the snapshot versions allowing the caller pass metadata from previous deployment allows reestablish the association between the artifacts the same project ',positive
'todo really wondering where this method belongs smells like should mavenproject but for some reason isnt this localization kindof code smell ',positive
'todo hack because metadata isnt generated correctly and want run the maven have the ',positive
'todo this does not belong here ',positive
'this foul ',positive
'note theres and ',positive
'derive the path portion the given url param url the repository url return the basedir the repository todo need url decode for spaces ',positive
'todo restore these makes sense ',positive
'todo could the configuration passed lookup and the configurator known plexus via the descriptor that this method could entirely handled plexus lookup ',positive
'todo error reporting ',positive
'todo this replacing shouldnt necessary userhome should the ',positive
'todo currently this first wins but really should take the latest comparing either the snapshot timestamp some other timestamp later encoded into the metadata todo this needs repeated here the merging doesnt interfere with the written metadata wed much better having pristine input and ongoing metadata for merging instead ',positive
'todo what about wildcards just specifying groups versions ',positive
'todo use stringutils here ',positive
'todo from concurrency perspective this class not good the combination mutableimmutable state not nice ',positive
'todo probably want warn the user that building artifact with different values than ',positive
'not sure this last regexp was really intended disallow the usage network paths userhome directory unfortunately did removed and have not detected any problems yet path pathreplaceall ',positive
'todo better way than static this might hide messages reactor ',positive
'this exception thrown application attempts attach two the same artifacts single project author pgier author jdcasey todo make this checked exception and modify the api mavenprojecthelper currently this modification would create compatibility problems for existing plugins ',positive
'todo lifecycles being executed todo what runs each phase todo plugins that need downloading todo project dependencies that need downloading todo unfortunately the plugins need downloaded order get the pluginxml file need externalize this from the plugin archive todo this will the class that people get ides modify ',positive
'note for plugins that depend other plugin artifacts the plugin realm contains more than one plugin descriptor however only the first descriptor interest ',positive
'todo not sure about this here and may want getlog here wellinstead ',positive
'todo does this check need happen here had add the same call below when iterate child nodes will that suffice ',positive
'todo mng changes likely made this redundant ',positive
'todo move this plexusutils pathtool ',positive
'find the version this total hack see previous comment ',positive
'note this primarily keep backwardcompat with maven which did not validate that dependencies are unique within single pom upon multiple declarations just kept the last one but retained the order the first occurrence when were lenientcompat mode have deal with such broken poms and mimic the way works when were strict mode the removal duplicates just saves other merging steps from aftereffects and bogus error messages ',positive
