@relation 'technicalDebt'

@attribute Text string
@attribute class-att {negative,positive}

@data

'use count the default this mimics the old behavior although none might better option moving forward the case callable ',positive
'perhaps not really necessary ',positive
'todo what else here ',positive
'todo disable batch loading lockmode read ',positive
'todo handle concurrent writes correctly the client should pass lock ',positive
'turn hibernatecp into gets chance see all hibernatecp ',positive
'note there wierd implementation the client side ',positive
'todo this was added support initializing entitys entityentry snapshot during reattach this should refactored instead expose method assemble entityentry based this state for return ',positive
'need drop constraints before dropping tables this dialect ',positive
'fixme per the regionfactory class javadoc this constructor version should not necessary param props the configuration properties ',positive
'does this dialect support check constraints ',positive
'this called sessionfactory irregardless just disregard here could also add check sessionfactory only conditionally call start ',positive
'does this dialect support the unique column syntax ',positive
'this done here cos might only know the type here ugly todo improve this lot ',positive
'does this dialect support the for update syntax ',positive
'todo what the implication this ',positive
'todo yuck ',positive
'todo again how should this work for nonpojo entities ',positive
'does this dialect support for update allowing particular rows locked ',positive
'todo really bad evil hack fix ',positive
'aliasrefnoderesolve false false aliasrefnodegettext todo kosher here todo kosher here ',positive
'todo better degrade lazyfalse uninstrumented ',positive
'does this dialect support the oraclestyle for update nowait syntax ',positive
'icky workaround for mysql bug ',positive
'have set the table later yuck ',positive
'todo somehow add the newly created foreign keys the internal collection ',positive
'this inner class implements case statementperhaps being bit overclever here ',positive
'todo merge into one method ',positive
'todo this bit copypaste from ',positive
'todo what type ',positive
'todo inefficient ',positive
'fixme get the persistentclass ',positive
'todo can remove this once the deprecated ctor can made private ',positive
'todo this too conservative all preceding joins were also inner joins could use inner join here ',positive
'todo redesign how propertyaccessors are acquired ',positive
'todo not sure this needed ',positive
'create index the key columns ',positive
'todo joinkeycolumnname should called either here slightly higer level the stack get all the information need right now hbmbinder does not support the ',positive
'todo improve this hack ',positive
'todo bad implementation cos depends upon ordering mapping doc fixing this requires that gain access the mappings reference from configuration the filterdefinitions map directly sometime during after all the typesfilterdefs are known and before building persisters ',positive
'use trim here ugly ',positive
'todo ideally need the construction propertyaccessor take the following entitymode entitymodespecific data the classname for pojo entities propertyspecific data based the entitymode propertyname domjnodename the easiest way with the introduction the new runtimemetamodel classes would the the following predicates takes references both and what now termed propertyaccessor stores any values needed from those two pieces information code can then simply call with parameters likewise with ',positive
'can happen because the multiple ways cacheremove can invoked ',positive
'ick ',positive
'todo this very suboptimal for some subclasses namely components since does not take advantage twophaseload ',positive
'todo should this ',positive
'todo suck this into initlaziness ',positive
'temporary magic value the need for intended alleviated with future developement thus not defined environment constant used control whether should consult the jdbc metadata determine certain settings default values useful not this when the database may not available mainly tools usage ',positive
'todo this right ',positive
'the subquery yuck ',positive
'use stringbuffer workaround jdk bug ',positive
'todo copypaste from recreate ',positive
'workaround for backward compatibility sets with notnull columns assume all columns are used the row locator sql ',positive
'todo this eventually needs removed ',positive
'todo remove ',positive
'just help out during the load ugly know ',positive
'hackworkaround sqlquery impl depend having key ',positive
'todo handle the case foreign key something other than the ',positive
'todo assumes all collections disassemble array ',positive
'todo would love have this work notification basis where the successful binding entitysubclass would emit notification which the extendsqueue entries could react ',positive
'todo really neceassry provide configuration should not enough with associated class why does entitypersisters not get access configuration the only reason could see that configuration gets passed collection persisters that they can look the domj node name the entity element case explicit node name was applied the collection element level are you kidding trivial fix then just store and expose the node name the entity persister which the collection persister looks anyway via other means ',positive
'todo deprecated remove eventually ',positive
'todo possibly relax that ',positive
'todo this bit dodgy come with better way check this plus see above comment ',positive
'use degenerated strategy for backward compatibility ',positive
'todo this temporary that the end result will probably not take property reference perse ',positive
'todo better handle dynamic filters through implicit see the discussion there javadocs why currently not done that way ',positive
'get the right object from the list would easier just call getentity ',positive
'todo should record how many properties have reffered and dont getemall throw exception way better than trial and error ',positive
'todo this dependency kinda bad ',positive
'todo get sql rendering out this package ',positive
'why does this matter ',positive
'important account for newly saved entities query todo some kind check for new status ',positive
'todo can always use the null property approach for everything ',positive
'does this need holdlock also return tablename with updlock rowlock holdlock ',positive
'for sets should end the collection load after resolving the entities since might call hashcode the elements todo could this polymorphically and have two different operations implemented differently for arrays ',positive
'todo remove this and just have subclasses use directly ',positive
'sqlserver least needed this dropped after use strange ',positive
'necessary register exact since can only appear where clause ',positive
'for arrays should end the collection load before resolving the entities since the actual array instances are not instantiated during loading todo could this polymorphically and have two different operations implemented differently for arrays ',positive
'does this dialect support the alter table syntax ',positive
'this next bit allow for both and for older behavior where version number did not get seeded was already set the object todo shift into unsavedvalue strategy ',positive
'todo reenable also fix the above todo ',positive
'orphans should not deleted during copy ',positive
'orphans should not deleted during merge ',positive
'todo suck this logic into the collection ',positive
'todo can actually just determine this from the incoming entityentrys ',positive
'todo this bit actually has called after all cascades but since identity insert called synchronously instead asynchronously other actions isnt ',positive
'this class has proxies shortcut ',positive
'todo should this watch out for performance ',positive
'todo need map the prob proper key right ',positive
'todo better pass the argument ',positive
'even really need this the update will fail anyway ',positive
