Label, Type, Content
0, Line, //  Trailing slash in name indicates that entry is a directory 
0, Line, //  allow organisation synonyms, like 'org' or 'organization' 
0, Line, //  No include expression, ignore 
0, Line, //  rc-1, 1.0 
0, Line, //  noop 
0, Line, //  If node was previously traversed, need to remove outgoing edges. 
0, Line, //  Simple scheme is to just present the public type of the container 
0, Line, //  A nullable reference 
1, Line, //  TODO - don't calculate the same value concurrently 
0, Line, //  Always publish `ComponentWithVariants` 
0, Block, /*      * Maven supports wildcards in exclusion rules according to:     * http://www.smartjava.org/content/maven-and-wildcard-exclusions     * https://issues.apache.org/jira/browse/MNG-3832     * This should be used for non-transitive dependencies      */
1, Line, //  TODO this should not be using the default charset because it's not an input and might introduce flakiness 
0, Line, //  Returns an approximation of a composite variant 
0, Line, //  We have some batched up conflicts. Resolve the first, and continue traversing the graph 
0, Line, // Each build request carries it's own log level and it is used during the execution of the build (see LogToClient) 
0, Line, //  Implementation note: It is only necessary to override visit methods   for AST nodes that reference statements. For ClosureExpression we rely on   the assumption that it always references a BlockStatement and hence our   visitBlockStatement() method gets called.
0, Line, //  Workspace scope is expected to be persisted in the project cache dir since 4.0. 
0, Line, //  register eagerly so stop() is triggered when services are being stopped 
0, Line, //  may be we have C[k1:v1] -> should become (C)([k1:v1]) 
0, Line, //  Construct a new CompilerOptions class 
0, Line, //    Add `publicType`   
0, Line, //  Swap the Foreground and Background bits. 
0, Line, //  Configure the component 
0, Line, //  This is called from the download thread. Only forward the events when not cancelled 
0, Line, //  This insanity is needed for the case where someone calls pluginContainer.add(new SomePlugin())   That is, the plugin container has the instance that we want, but we don't think (we can't know) it has been applied
0, Line, //  Register the project's source set output directories 
0, Line, // no scheme means someone passed a relative url. In our context only file relative urls make sense. 
0, Line, //  Sha256 is not part of core-services (i.e. no Hashing.sha256() available), hence we use plain Guava classes here. 
1, Line, //  TODO Make this work with pending elements
0, Line, //  anything other than PropertyExpressions or   VariableExpressions will stop resolving 
0, Line, //  If a delimiter; if dot, swap to groupToken, otherwise the rest belongs in qualifier. 
0, Line, //  GENERATE ConfigureUtil.configureUsing(v); 
0, Line, //  Ignore the rule if it expects Ivy metadata and this isn't an Ivy module 
0, Line, //  Missing files can be ignored 
0, Line, //  Matches: task <identifier> <operator> <expression> | task <string> <operator> <expression>   Map to: passThrough(task('<identifier>') <operator> <expression>) | passThrough(task(<string>) <operator> <expression>) 
0, Line, //  No overlap no cry 
0, Line, //  CopyProcessingSpec overrides to broaden return type 
0, Line, //  Assume individual files have no dependencies 
0, Line, //  For testing 
0, Line, //  a local component that provides a JVM assembly 
0, Line, //  we hold other project locks that we should release first 
0, Line, //  Retain buffer if there is capacity in the queue, otherwise discard 
0, Line, //  Sort source files to work around https://issues.apache.org/jira/browse/GROOVY-7966 
0, Line, //  No macro includes were seen in the include graph of this file, so the result can be reused if this file is seen again 
