@relation 'technicalDebt'

@attribute Text string
@attribute class-att {negative,positive}

@data

'fixme probably this should also integrated with issame logics ',positive
'wait for block just sure not ideal ',positive
'hive not sure this correct dont think gets wrapped udftointeger ',positive
'expect this never happen practice can pool paths even have angled braces ',positive
'todo this does not work correctly none the partitions created but the folder for the first two created because when going through the partitions the first two are already put and started the thread pool when the exception occurs the third one when the exception occurs the finally part but the map can empty depends the progress the other threads the folders wont deleted pathtablelocation year ',positive
'todo remove this after stashing only rqd pieces from opconverter ',positive
'todo should try make giant array for one cache call avoid overhead ',positive
'forward the row reducer discard the row vectorized may forward the row not sure yet ',positive
'handle any move session requests the way move session works right now sessions get moved destination pool there capacity destination pool there capacity destination pool the session gets killed since cannot pause query todo future this the process killing can delayed until the point where session actually required could consider delaying the move when destination capacity full until there claim src pool may change command support delayed move etl which will run under src cluster fraction long ',positive
'not threadsafe ',positive
'would better had errorcode field ',positive
'todo this can probably replaced with much less code via dynamic dispatch andor templates ',positive
'todo handle this properly ',positive
'todo need maxlength checking ',positive
'todo prewarm and update can probably merged ',positive
'deprecated favour link removed hive ',positive
'todo disabling this test tez publishes counters only after task completion which will cause write side counters not validated correctly dag will completed before validation testtimeout ',positive
'todo might want increase the default batch size viable gets oom too high ',positive
'todo remove when method relmdsize ',positive
'store all caches variables change the main one based config this not thread safe between different split generations and wasnt anyway ',positive
'todo once shuffle out this can use apis convert between app and job ',positive
'todo does this need the finaldestination ',positive
'todo add limit instead count should more efficient ',positive
'todo not support listing resources command beeline list jar ',positive
'note scheduler will call this based lack sources schedule time and set this true theres easy way work around this need better classes ',positive
'todo will this also fix windowing try ',positive
'but lets make little bit more explicit ',positive
'todo this should inherit from volcanocost and should just override isle method ',positive
'todo check for duplicates assume clause values present ndv which may not correct range check can find assume values ndv set uniformly distributed over col values account for skewness histogram ',positive
'todo didnt care about the column order could switch join sides here ',positive
'todo could remember its unsupported and stop sending calls although might bad idea for hsstandalone metastore that could updated with support maybe should just remember this for some time ',positive
'deprecated favour link removed hive ',positive
'todo why this like that ',positive
'todo escape handling may changed follow the largest issue which are treated statement terminators for the cli once the cli fixed this code should reinvestigated ',positive
'delete data fail table doesnt exist need results back ',positive
'todo this does not work correctly none the partitions created but the folder for the first two created because when going through the partitions the first two are already put and started the thread pool when the exception occurs the third one when the exception occurs the finally part but the map can empty depends the progress the other threads the folders wont deleted ',positive
'note assume that this isnt already malformed query dont check for that here will fail later anyway ',positive
'todo not clear should cache these not for now dont bother ',positive
'todo this needs removed see comments ',positive
'bug this will not work remote mode hive ',positive
'todo change this method make the output easier parse parse programmatically ',positive
'todo remove ',positive
'wouldnt make more sense return the first element the list returned the previous call ',positive
'better logic would find the alias ',positive
'need enforce the size here even the types are the same ',positive
'this method may not safe can throw npe key value null ',positive
'todo this ugly hack because tez plugin isolation does not make sense for llap plugins are going register threadlocal here for now that the scheduler initializing the same thread after the communicator will pick the other way around ',positive
'todo mssplit uncomment once move eventmessage over ',positive
'follow hives rules for type inference oppose calcites for return type todo perhaps should this for all functions not just ',positive
'todo hive while getting stats from metastore currently only get one col time this could improved get all necessary columns advance then use local todo hive aggregations could done directly metastore hive over mysql ',positive
'todo see planindexreading this not needed here ',positive
'todo why stored both table and dpctx ',positive
'todo use threadpool for more concurrency todo checkset all files only directories ',positive
'todo hive handle additional reasons like launch failed ',positive
'todo handle agg func name translation correct add func ',positive
'todo both these are texception why need these separate clauses ',positive
'todo two hss start exactly the same time which could happen during coordinated restart they could start generating the same ids should store the starttime ',positive
'todo given the specific data and lookups perhaps the nested thing should not map fact cslm has slow singlethreaded operation and one file probably often read just one few threads much more simple with locking might better lets use cslm for now since its available ',positive
'todo ideally this should done independent whether setup not ',positive
'this not modeled before because needs parameterized pertest there better way this should ',positive
'todo hive ',positive
'make sure nullvalued confvar properties not override the hadoop configuration note comment out the following test case for now until better way test found this test case cannot reliably tested the reason for this that hive does overwrite fsdefaultname hiveconf the property set system properties coresitexml null coresitexml ',positive
'deprecated favour link removed hive ',positive
'todo due value this probably should throw exception ',positive
'deprecated favour link removed hive ',positive
'hmm not good the only type expected here struct which maps hcatrecord anything else error return null the inspector ',positive
'todo should these rather arrays ',positive
'todo change all this based regular interface instead relying the proto service exception signatures cannot controlled without this for the moment ',positive
'will implemented later ',positive
'todo actually need this reader the caller just extracts child readers ',positive
'todo hive what mergework and why not part the regular operator chain the call further down can block and will not receive information about abort request ',positive
'todo hive handle cases where nodes down and come back the same port historic information ',positive
'todo most protocol exceptions are probably unrecoverable throw ',positive
'todo also need remove the mapjoin from the list rss children ',positive
'todo why there tezsession execdriver ',positive
'replace insert overwrite merge equivalent rewriting here need this complex ast rewriting that generates the same plan that merge clause would generate because cbo does not support merge yet todo support merge first class member cbo simplify this logic ',positive
'todo current implementation replication will result droppartition under replication scope being called perpartition instead multiple partitions however robust must still handle the case multiple partitions case this assumption changes the future however this assumption changes will not very performant fetch each partition onebyone and then decide inspection whether not this candidate for dropping thus need way push this filter the metastore allow drop partition not depending predicate the parameter key values ',positive
'todo should pass curr instead null ',positive
'really not sure this should here will have see how the storage mechanism evolves ',positive
'todo force file setup staging dir confsetfsdefaultfs file tmp ',positive
