@relation 'technicalDebt'

@attribute Text string
@attribute class-att {negative,positive}

@data

'basically ignore protocol let someone report ',positive
'sss fixme this correct ',positive
'fixme use for block implement end node because need proc which captures its enclosing scope forblock now represents these node and should renamed ',positive
'sss fixme the ordering correct poll before next ',positive
'use highly uncommon string represent the paragraph delimiter soln not worth ',positive
'add self recv here todo this right ',positive
'todo mri behavior call add depending the call but this leads exceptions when floats are added see return callcoercedcontext true this mri behavior well use ours for now thus providing ability add floats ',positive
'sss fixme this correctly placed the end the loop iteration ',positive
'todo ruby reuses this logic for other write behavior checking its and calling write again ',positive
'sss fixme where does this ',positive
'would nice and logical exponent form behaved like and decimal form behaved like but such luck hence ',positive
'sss fixme these should get normally compiled initialized some other way sss fixme parentsupertype info incorrect these are just placeholders for now this needs updated with real class objects later ',positive
'todo probably here confirm jruby ',positive
'sss fixme could make irloop scope too semantically scope but functionally not sure this required yet ',positive
'this covers the rare case lowercase class names and thus will fail the time fortunately well only this once per package name and seriously folks look into best practices ',positive
'sss fixme should this string literal string dummy class for the script ',positive
'todo should this deprecated efficient internals should deal with rubyhash directly ',positive
'sss fixme does int suffice need long ',positive
'modules are included with shim class must find that shim handle super appropriately ',positive
'reset value map this instruction the startend basic block right now calls are considered hard boundaries for optimization and information cannot propagated across them sss fixme rather than treat all calls with broad brush what need capture different attributes about call uses closures known call target can modify scope etc this information probably already present the ast inspector ',positive
'todo determine whether should perhaps store nonsingleton class the implementationclass ',positive
'sss fixme correct where does closure arg come from ',positive
'fixme consider fixing nodeassign itself rather than single case ',positive
'sss fixme should have reference the irloop that being retried ',positive
'temporary hack handle nonruby values will come with better solution shortly ',positive
'simplify the variables too keep these variables sync with what actually used the when clauses this not required for correctness reasons but only for performance reasons ',positive
'must called from main thread currently but this bothers ',positive
'con fixme dont know how make case expressiondoes that logic need here ',positive
'fixme legal here may want ',positive
'fixme this ugly hack resolve jruby not proud ',positive
'something wrong dont know the cwd todo this behavior really desirable mov ',positive
'todo java stringity ',positive
