Target project, P, R, F1
Ant, 0.896551724138, 0.254901960784, 0.396946564885
ArgoUML, 0.666666666667, 0.235294117647, 0.347826086957
Columba, 0.736842105263, 0.411764705882, 0.528301886792
EMF, 0.724137931034, 0.205882352941, 0.320610687023
Hibernate, 0.791666666667, 0.186274509804, 0.301587301587
JEdit, 1.0, 0.0686274509804, 0.128440366972
JFreeChart, 0.777777777778, 0.137254901961, 0.233333333333
JMeter, 0.777777777778, 0.205882352941, 0.325581395349
JRuby, 0.793103448276, 0.225490196078, 0.351145038168
SQuirrel, 0.833333333333, 0.196078431373, 0.31746031746
Dubbo, 1.0, 0.00980392156863, 0.0194174757282
Gradle, 0.0, 0.0, 0.0
Groovy, 0.0, 0.0, 0.0
Hive, 0.0, 0.0, 0.0
Maven, 0.0, 0.0, 0.0
Poi, 0.789473684211, 0.147058823529, 0.247933884298
SpringFramework, 0.84, 0.205882352941, 0.330708661417
Storm, 0.657894736842, 0.245098039216, 0.357142857143
Tomcat, 0.0, 0.0, 0.0
Zookeeper, 0.0, 0.0, 0.0
