Target project, P, R, F1
Ant, 0.0, 0.0, 0.0
ArgoUML, 0.861111111111, 0.616915422886, 0.71884057971
Columba, 0.761589403974, 0.572139303483, 0.653409090909
EMF, 0.855172413793, 0.616915422886, 0.71676300578
Hibernate, 0.927419354839, 0.572139303483, 0.707692307692
JEdit, 0.923076923077, 0.0597014925373, 0.11214953271
JFreeChart, 0.933884297521, 0.562189054726, 0.701863354037
JMeter, 0.931818181818, 0.611940298507, 0.738738738739
JRuby, 0.911764705882, 0.616915422886, 0.73590504451
SQuirrel, 0.934782608696, 0.641791044776, 0.761061946903
Dubbo, 0.0, 0.0, 0.0
Gradle, 0.0, 0.0, 0.0
Groovy, 0.0, 0.0, 0.0
Hive, 0.0, 0.0, 0.0
Maven, 0.0, 0.0, 0.0
Poi, 0.933884297521, 0.562189054726, 0.701863354037
SpringFramework, 0.906474820144, 0.626865671642, 0.741176470588
Storm, 0.86, 0.641791044776, 0.735042735043
Tomcat, 0.0, 0.0, 0.0
Zookeeper, 0.0, 0.0, 0.0
