Target project, P, R, F1
Ant, 0.0, 0.0, 0.0
ArgoUML, 0.715277777778, 0.827309236948, 0.767225325885
Columba, 0.688811188811, 0.791164658635, 0.736448598131
EMF, 0.712230215827, 0.795180722892, 0.751423149905
Hibernate, 0.72, 0.795180722892, 0.75572519084
JEdit, 0.541666666667, 0.0522088353414, 0.0952380952381
JFreeChart, 0.737254901961, 0.755020080321, 0.746031746032
JMeter, 0.742753623188, 0.823293172691, 0.780952380952
JRuby, 0.717770034843, 0.827309236948, 0.768656716418
SQuirrel, 0.737827715356, 0.791164658635, 0.763565891473
Dubbo, 0.888888888889, 0.0321285140562, 0.062015503876
Gradle, 0.0, 0.0, 0.0
Groovy, 0.0, 0.0, 0.0
Hive, 0.0, 0.0, 0.0
Maven, 0.0, 0.0, 0.0
Poi, 0.742424242424, 0.787148594378, 0.764132553606
SpringFramework, 0.728873239437, 0.831325301205, 0.776735459662
Storm, 0.68438538206, 0.827309236948, 0.749090909091
Tomcat, 0.0, 0.0, 0.0
Zookeeper, 0.0, 0.0, 0.0
