Target project, P, R, F1
Ant, 0.571428571429, 0.0129449838188, 0.0253164556962
ArgoUML, 0.784638554217, 0.843042071197, 0.8127925117
Columba, 0.785714285714, 0.854368932039, 0.818604651163
EMF, 0.836126629423, 0.726537216828, 0.777489177489
Hibernate, 0.853181076672, 0.846278317152, 0.84971567831
JEdit, 0.733333333333, 0.0355987055016, 0.0679012345679
JFreeChart, 0.844488188976, 0.694174757282, 0.761989342806
JMeter, 0.848534201954, 0.843042071197, 0.845779220779
JRuby, 0.819722650231, 0.860841423948, 0.839779005525
SQuirrel, 0.840690978887, 0.708737864078, 0.769095697981
Dubbo, 0.933333333333, 0.135922330097, 0.237288135593
Gradle, 0.0, 0.0, 0.0
Groovy, 0.0, 0.0, 0.0
Hive, 0.0, 0.0, 0.0
Maven, 0.0, 0.0, 0.0
Poi, 0.857621440536, 0.828478964401, 0.842798353909
SpringFramework, 0.843042071197, 0.843042071197, 0.843042071197
Storm, 0.816640986133, 0.857605177994, 0.836621941594
Tomcat, 0.0, 0.0, 0.0
Zookeeper, 0.0, 0.0, 0.0
