Target project, P, R, F1
Ant, 0.0, 0.0, 0.0
ArgoUML, 0.75, 0.741176470588, 0.745562130178
Columba, 0.62, 0.729411764706, 0.67027027027
EMF, 0.678571428571, 0.447058823529, 0.539007092199
Hibernate, 0.756097560976, 0.729411764706, 0.74251497006
JEdit, 1.0, 0.0235294117647, 0.0459770114943
JFreeChart, 0.666666666667, 0.423529411765, 0.517985611511
JMeter, 0.759036144578, 0.741176470588, 0.75
JRuby, 0.741176470588, 0.741176470588, 0.741176470588
SQuirrel, 0.678571428571, 0.447058823529, 0.539007092199
Dubbo, 0.931034482759, 0.317647058824, 0.473684210526
Gradle, 0.0, 0.0, 0.0
Groovy, 0.0, 0.0, 0.0
Hive, 0.0, 0.0, 0.0
Maven, 0.0, 0.0, 0.0
Poi, 0.756097560976, 0.729411764706, 0.74251497006
SpringFramework, 0.759036144578, 0.741176470588, 0.75
Storm, 0.715909090909, 0.741176470588, 0.728323699422
Tomcat, 0.0, 0.0, 0.0
Zookeeper, 0.0, 0.0, 0.0
