Target project, P, R, F1
Ant, 0.578125, 0.128919860627, 0.210826210826
ArgoUML, 0.645833333333, 0.648083623693, 0.646956521739
Columba, 0.588732394366, 0.728222996516, 0.651090342679
EMF, 0.707920792079, 0.498257839721, 0.584867075665
Hibernate, 0.731092436975, 0.606271777003, 0.662857142857
JEdit, 0.695652173913, 0.0557491289199, 0.103225806452
JFreeChart, 0.711111111111, 0.445993031359, 0.54817987152
JMeter, 0.748987854251, 0.644599303136, 0.692883895131
JRuby, 0.704545454545, 0.648083623693, 0.675136116152
SQuirrel, 0.713567839196, 0.494773519164, 0.584362139918
Dubbo, 0.86, 0.149825783972, 0.255192878338
Gradle, 0.0, 0.0, 0.0
Groovy, 0.0, 0.0, 0.0
Hive, 0.0, 0.0, 0.0
Maven, 0.0, 0.0, 0.0
Poi, 0.74347826087, 0.595818815331, 0.661508704062
SpringFramework, 0.708955223881, 0.662020905923, 0.684684684685
Storm, 0.678445229682, 0.668989547038, 0.673684210526
Tomcat, 0.0, 0.0, 0.0
Zookeeper, 0.0, 0.0, 0.0
