Target project, P, R, F1
Ant, 0.0, 0.0, 0.0
ArgoUML, 0.659459459459, 0.760124610592, 0.706222865412
Columba, 0.64631043257, 0.791277258567, 0.711484593838
EMF, 0.675531914894, 0.791277258567, 0.728837876614
Hibernate, 0.688172043011, 0.797507788162, 0.738816738817
JEdit, 0.857142857143, 0.0373831775701, 0.0716417910448
JFreeChart, 0.682584269663, 0.757009345794, 0.717872968981
JMeter, 0.680672268908, 0.757009345794, 0.716814159292
JRuby, 0.682795698925, 0.791277258567, 0.733044733045
SQuirrel, 0.682584269663, 0.757009345794, 0.717872968981
Dubbo, 0.0, 0.0, 0.0
Gradle, 0.0, 0.0, 0.0
Groovy, 0.0, 0.0, 0.0
Hive, 0.0, 0.0, 0.0
Maven, 0.0, 0.0, 0.0
Poi, 0.680672268908, 0.757009345794, 0.716814159292
SpringFramework, 0.666666666667, 0.760124610592, 0.710334788937
Storm, 0.657216494845, 0.794392523364, 0.719322990127
Tomcat, 0.0, 0.0, 0.0
Zookeeper, 0.0, 0.0, 0.0
