Target project, P, R, F1
Ant, 0.3, 0.00286806883365, 0.00568181818182
ArgoUML, 0.739008419083, 0.755258126195, 0.747044917258
Columba, 0.64006514658, 0.751434034417, 0.691292875989
EMF, 0.750744786495, 0.72275334608, 0.736483195324
Hibernate, 0.784215784216, 0.750478011472, 0.766976062531
JEdit, 0.675, 0.0258126195029, 0.0497237569061
JFreeChart, 0.782283884739, 0.700764818356, 0.739283913263
JMeter, 0.788, 0.753346080306, 0.770283479961
JRuby, 0.724388032638, 0.763862332696, 0.743601675198
SQuirrel, 0.776739356179, 0.715105162524, 0.744649079144
Dubbo, 0.952380952381, 0.038240917782, 0.0735294117647
Gradle, 0.0, 0.0, 0.0
Groovy, 0.0, 0.0, 0.0
Hive, 0.0, 0.0, 0.0
Maven, 0.0, 0.0, 0.0
Poi, 0.789581205312, 0.739005736138, 0.763456790123
SpringFramework, 0.778106508876, 0.75430210325, 0.766019417476
Storm, 0.71013215859, 0.770554493308, 0.739110499771
Tomcat, 0.0, 0.0, 0.0
Zookeeper, 0.0, 0.0, 0.0
