Target project, P, R, F1
Ant, 0.0, 0.0, 0.0
ArgoUML, 0.914754098361, 0.740053050398, 0.818181818182
Columba, 0.890675241158, 0.73474801061, 0.80523255814
EMF, 0.944827586207, 0.726790450928, 0.821589205397
Hibernate, 0.947194719472, 0.761273209549, 0.844117647059
JEdit, 1.0, 0.0450928381963, 0.0862944162437
JFreeChart, 0.942446043165, 0.694960212202, 0.8
JMeter, 0.944444444444, 0.721485411141, 0.818045112782
JRuby, 0.945578231293, 0.737400530504, 0.828614008942
SQuirrel, 0.943462897527, 0.708222811671, 0.809090909091
Dubbo, 1.0, 0.0159151193634, 0.0313315926893
Gradle, 0.0, 0.0, 0.0
Groovy, 0.0, 0.0, 0.0
Hive, 0.0, 0.0, 0.0
Maven, 0.0, 0.0, 0.0
Poi, 0.943661971831, 0.710875331565, 0.810892586989
SpringFramework, 0.937931034483, 0.721485411141, 0.815592203898
Storm, 0.912903225806, 0.750663129973, 0.823871906841
Tomcat, 0.0, 0.0, 0.0
Zookeeper, 0.0, 0.0, 0.0
