Target project, P, R, F1
Ant, 0.25, 0.00103199174407, 0.00205549845838
ArgoUML, 0.843806104129, 0.970072239422, 0.902544407105
Columba, 0.830570902394, 0.930856553148, 0.877858880779
EMF, 0.836262719704, 0.932920536636, 0.881951219512
Hibernate, 0.836583101207, 0.929824561404, 0.880742913001
JEdit, 0.92, 0.0237358101135, 0.046277665996
JFreeChart, 0.836925960637, 0.921568627451, 0.87721021611
JMeter, 0.838589981447, 0.932920536636, 0.883243771373
JRuby, 0.834558823529, 0.937048503612, 0.882839086048
SQuirrel, 0.838139534884, 0.929824561404, 0.881604696673
Dubbo, 1.0, 0.00412796697626, 0.0082219938335
Gradle, 0.0, 0.0, 0.0
Groovy, 0.0, 0.0, 0.0
Hive, 0.0, 0.0, 0.0
Maven, 0.0, 0.0, 0.0
Poi, 0.837535014006, 0.925696594427, 0.879411764706
SpringFramework, 0.834718374885, 0.932920536636, 0.881091617934
Storm, 0.820652173913, 0.934984520124, 0.874095513748
Tomcat, 0.0, 0.0, 0.0
Zookeeper, 0.0, 0.0, 0.0
