oracle, Pattern, NLP, TM, MAT, MAT_TM, MAT_NLP,Comments
1,0,1,1,1,1,1,// TODO (@author fdietz): should be removed if we only use // Streams!
1,0,1,1,1,1,1,// FIXME (@author karlpeder): Is 3.2 the proper version of html to refer to?
1,1,1,1,1,1,1,// this is a hack for the multiline column
1,0,1,1,1,1,1,//TODO (@author tstich): do something
1,0,1,1,1,1,1,// TODO (@author fdietz): i18n
1,0,1,0,1,1,1,// FIXME remove method // toolbarPane.add(c);
1,0,1,1,1,1,1,//TODO (@author fdietz): i18n
1,0,1,1,1,1,1,// TODO @author hubms: copied from frederiks search builder
1,1,0,0,0,0,0,// real stupid recreation of whole list model // -> replace with id-based listmodel update
1,0,1,1,1,1,1,// TODO (@author karlpeder): Extend handling of special entities as in restoreSpecialCharacters
1,0,0,1,1,1,1,"/**     * Transforms email-addresses into HTML just as     * substituteEmailAddress(String), but tries to ignore email-addresses,     * which are already links, if the ignore links flag is set.     * <br>     * This extended functionality is necessary when parsing a text which     * is already (partly) html.     * <br>     * FIXME: Can this be done smarter, i.e. directly with reg. expr. without manual parsing??     *     * @param         s                                input text     * @param        ignoreLinks                if true link tags are ignored. This gives a     *                                                         wrong result if some e-mail adresses are     *                                                         already links (but uses reg. expr. directly,     *                                                         and is therefore faster)     * @return        text with email-adresses transformed to links     */"
1,0,0,1,1,1,1,//TODO: Return content encoding according to the mime part in the mail
1,0,1,1,1,1,1,//TODO: Return content type according to the mime part in the mail
1,1,1,1,1,1,1,// hack to support dockable view title update // TODO replace with listener pattern
1,0,1,1,1,1,1,/*TODO stop polling thread?! */
1,0,1,1,1,1,1,// TODO @author hubms: bad: if there is a icon it is tagged or // not
1,0,1,1,1,1,1,// TODO categoryEnumeration
1,1,1,1,1,1,1,// hack: if start and end time is at 00:00:00:000 it is // an all day event
1,0,1,1,1,1,1,// register interest on store changes // TODO the dependency should be the other way around
1,0,1,1,1,1,1,// TODO: fix layout to look good, even if there's not enough information provided
1,1,1,1,1,1,1,// FIXME: ugly cast to ContactModel
1,0,1,1,1,1,1,// @TODO dont use deprecated method
1,0,1,1,1,1,1,/* TODO must get polling interval from config file */
1,0,1,1,1,1,1,//      TODO: reactivate when feature is supported
1,0,1,1,1,1,1,// If this folder has children add them // TODO: In the future we should try to fetch additional children on demand // when the tree of the dialog is opened
1,0,0,1,1,1,1,// TODO (@author fdietz): Add more special entities - e.g. accenture chars such as ?
1,0,0,0,1,1,1,// TODO (@author waffel): encrypt AND sign dosN#t work. The message is // always only // encrypted. We need a function that knows, here // is an encrypted AND signed Message. Thus first encyrpt and then // verifySign the message // if this message is signed/encrypted we have to use // GnuPG to extract the decrypted bodypart // - multipart/encrypted // - multipart/signed
1,0,0,1,1,1,1,"/**     * Transforms urls into HTML just as substituteURL(String),     * but tries to ignore urls, which are already links, if the ignore     * links flag is set.     * <br>     * This extended functionality is necessary when parsing a text which     * is already (partly) html.     * <br>     * FIXME: Can this be done smarter, i.e. directly with reg. expr. without manual parsing??     *     * @param         s                                input text     * @param        ignoreLinks                if true link tags are ignored. This gives a     *                                                         wrong result if some urls are already links     *                                                         (but uses reg. expr. directly, and is     *                                                         therefore faster)     * @return        text with urls     */"
1,0,0,1,1,1,1,// TODO @author fdietz: ensure that we don't fetch individual // headers // to reduce client/server roundtrips
1,0,1,0,0,0,0,// ??? bad to have release hardocoded here. Fix later...right.
1,0,1,1,1,1,1,//TODO: Open stream from the mime part specified by contentID of the  //currently viewed mail
1,0,1,0,0,0,0,// something is very wrong here
1,0,1,1,0,1,1,// its maybe better to leave this option out of the dialog // -> make it configurable in the xml file anyway
1,1,1,1,1,1,1,// TODO: Make this hack more i18n compatible
1,0,0,1,1,1,1,/*TODO move resources to a resource file */
1,0,1,1,1,1,1,// TODO: use UndoableEditEvent to make this really work
1,0,1,1,1,1,1,// TODO: Should we take some action to ensure signature is valid // html?
1,0,1,0,1,1,1,/* XXX should this be fired by a different thread? */
1,0,0,0,1,1,1,//TODO:add a configuration of the cache size
1,0,1,1,1,1,1,"/**	 * Command executes the search.	 * <p>	 * In case new result results arrive, it ensures that all interested	 * listeners are notified from inside the EDT.	 * <p>	 * FIXME: fdietz: No locking of folders currently implemented! TODO: fdietz:	 * create new Command for every provider to introduce real ""parallel"" search	 * 	 * @author fdietz	 */"
1,0,1,0,1,1,1,/*XXX this is not thread-safe, though luck. It isn't supposed to be. */
1,0,1,1,1,1,1,// TODO (@author fdietz): move this to AbstractMessageFolder constructor
1,0,1,1,1,1,1,//TODO: Should this be renamed to cLoc or something more appropriate than clock?
1,0,1,1,1,1,1,"/*         * TODO (@author karlpeder): Guess that right thing to do is to get height as getDrawingSize().getHeight(),         * since this should take top- and bottom margin of this print         * object into account. But the height seems not to be set         * correctly in computePositionAndSize() (*20030604, karlpeder*)         */"
1,0,0,0,0,0,0,// we can't use SystemClassLoader here, because that // wouldn't work with java webstart, // ResourceBundle uses its own internal classloader // if no classloader is given //  -> set classloader = null
1,0,1,1,1,1,1,//  // Note: We intentionally don't remember internal plugins, because // we don't want them to appear in the plugin manager currently. //  // TODO: improve plugin manager dialog to support internal plugins // which can't be removed, etc.
1,0,1,1,1,1,1,// FIXME calendar?
1,0,1,1,1,1,1,// TODO @author hubms have this flags, until the speed of the entitymanager // is improved
1,0,0,0,0,0,0,// cleanup: remove port number file
1,1,1,1,1,1,1,// TODO: There's probably a better way to do this hack...
1,0,0,1,1,1,1,"/*TODO before inserting, find out if there's already a menu item     * with the same action command. if so, replace it, otherwise insert new     */"
1,0,1,1,1,1,1,// TODO (@author fdietz): add import feature
1,0,1,1,1,1,1,// TODO (@author hubms): implement custom menuitem renderer
1,0,1,1,1,1,1,// TODO @author fdietz: no paging used currently // show only first 5 results
1,1,0,0,0,0,0,// real stupid recreation of whole menu model
1,0,0,1,1,1,1,// TODO: throw IllegalArgumentException in case a variable == null
1,0,1,1,1,1,1,//TODO (@author fdietz): associate help with button and root pane
1,0,1,0,1,1,1,// FIXME -- This will most likely not work. //          You want the element removed if the contents are the same //          Not just if the element reference is the same.
1,0,0,0,0,0,0,// // @author: fdietz // using shutdown-manager is wrong here, because this // automatically also calls the FrameManager, which  // also starts a second shutdown thread // -> This leads into two parallel shutdown thread which // -> is why sometimes config-files, etc. get messed up //        
1,1,1,1,1,1,1,// @author fdietz: hackish way of creating a search toolbar //JToolBar searchToolBar = new ExtendableToolBar();
1,0,1,1,1,1,1,"/** * A Command uses the information provided from {@link DefaultCommandReference} * to execute itself. * <p> * TODO: remove IFrameMediator dependency *  * @author Timo Stich <tstich@users.sourceforge.net> */"
1,0,0,0,0,0,0,// manually rewrite the connection url, because // if there is no rewrite the database files are created // in the starting directory, we don't want that!
1,0,1,1,1,1,1,// TODO: fix updateActions //enableActions(getCurrentOwner());
1,0,1,1,1,1,1,// TODO: @author hubms check what is neccessary // remove old filters // searchFolder.getFilter().getFilterRule().removeAll(); // add filter criteria // searchFolder.getFilter().getFilterRule().add(c);
1,0,0,1,1,1,1,//TODO Let the AttachmentViewer get the focus so that this works
1,0,1,1,1,1,1,//TODO: Open in message frame //TODO: Handle also message attachments from OpenInComposer action
1,0,1,1,1,1,1,// TODO (@author fdietz): add central place, which keeps a list of all possible //       colors, and provides a custom color configuration possibility
1,0,1,1,1,1,1,// TODO (@author fdietz): implement custom menuitem renderer
1,0,1,0,1,1,1,// FIXME (@author fdietz): Do we need this implementation in a TempFolder? // If not, just put an empty method here, just like in VirtualFolder.
1,0,1,1,1,1,1,// TODO Ristretto should handle the logging of streams in another // way.
1,0,1,1,1,1,1,// TODO (@author fdietz): All this code for creating a new // IMAPRootFolder should // be moved to a FolderFactory // -> this way "path" would be handled in the factory, too // parent directory for mail folders // for example: ".columba/mail/" // String path = // MailConfig.getInstance().getConfigDirectory().getPath();
1,0,1,1,0,1,1,// turn of focus stealing (workaround should be removed in the // future!)
1,0,1,1,1,1,1,// wait, if there is an active transaction // TODO @author hubms retrycount!
1,0,0,1,1,1,1,"/**	 * this regular expression should cover anything from a@a.pt or a@a.com to	 * a@a.info. Permits usage of invalid top domains though.	 * <p>	 * [bug] fdietz: added ""."" and ""-"" as regular characters	 * (example:mail@toplevel.mail.de)	 * <p>	 * TODO: see if we can replace the matching code with Ristretto stuff	 *	 */"
1,0,1,1,0,1,1,// @author: fdietz // This is a workaround. Generally, the contact dialog editor // should ensure that all necessary fields are available // 
1,0,1,1,1,1,1,// TODO: replace view with more detailed info view
1,0,1,1,1,1,1,// TODO we should check if we need an vector or better another list // implementation; checking also, if the list // must be syncronized or not (performance)
1,0,1,1,1,1,1,// FIXME is this correct for
1,0,0,1,1,1,1,//TODO externalize string //$NON-NLS-1$
1,0,1,1,1,1,1,// TODO: multiplicity checks
1,0,0,1,1,1,1,// TODO (@author fdietz): until we can get all the settings update // immediately // we just open a message box, telling the user to restart
1,0,1,1,1,1,1,// TODO: real IM status here
1,0,0,1,1,1,1,// FIXME: should we align the menu to the left instead? // menu.show(b, b.getWidth() - menu.getWidth(), b.getHeight());
1,0,0,0,0,0,0,// @author: tstich // Its better to call the Shutdownmanager // since the above is called automatically from it. // ShutdownManager is modified to allow one shutdown // call only, so we never should have multi-shutdown // problems again.
1,0,1,1,1,1,1,/* TODO should come up with a better name for the menu item */
1,0,1,1,1,1,1,// TODO (@author fdietz): add export feature
1,0,0,0,0,0,0,// Since Columba is doing its own logging handlers, we should not // use handlers in the parent logger.
1,0,0,0,0,0,0,// The JavaHelp can't be added to a BorderLayout because it // isnt' a component. For this demo we'll use the embeded method // since we don't want a Frame to be created.
1,0,0,0,0,0,0,// @author: fdietz // // PROBLEM: Extensions don't run using Java Webstart (JWS) //  // Even though we assign "all-permission" in our columba.jnlp file, this // only applies // to the initial Java Webstart classloader. But, we create our own // classloaders for // loading extensions. These classloaders don't have the same permission // settings anymore.
1,0,0,0,0,0,0,// what to do here? we could start a new server...
1,0,1,1,0,1,1,// WORKAROUND: //  // System.setSecurityManager(null); // // This call effectly disables the sandbox mode and seems to work fine. // // Below I use another way. The policy for all classloaders is set to // "all-permissions". // Don't really know the difference though.
1,0,0,0,0,0,0,// For the Mac ScreenBarMenus to work, this must be declared before // *ANY* AWT / Swing gets initialised. Do *NOT* move it to plugin init // location because that is too late...
1,0,0,0,0,0,0,// kids - don't do this at home
