@relation 'technicalDebt'

@attribute Text string
@attribute class-att {negative,positive}

@data

'these methods are based the graphevents these need replacing more specic meaningful requests the diagram interface model ',positive
'workaround for missing ability parse ',positive
'this wrongly called with null handle workaround return empty collection ',positive
'these may not actually make any difference present the code behind addtrigger needs more work ',positive
'needs more work sending and receiving icons ',positive
'must overridden make sense didnt want make abstract because might not required ',positive
'our superclass longer has this method perhaps this whole thing should removed tfm ',positive
'check for duplicate name and rename necessary ',positive
'local variables what they ',positive
'this method has insufficient information call buildextensionpoint thus well need create one and pray that whomever called knows what kind mess they got ',positive
'andreas just temporary for the uml prealpha versions ',positive
'install the trap eat securityexceptions note this temporary and will away future release ',positive
'andreas just temporary warning dialog for uml ',positive
'this code was copied from ',positive
'this the temporary solution for issue ',positive
'this the temporary solution for issue ',positive
'empty then were done there cycle the message graph which would bad has more than one element then the model crappy but well just use one them anyway ',positive
'hence less elegant workaround that works ',positive
'this should probably inside xmireaderparse but there another place this source where xmireader used but appears the nsuml xmireader when argo xmireader used consistently can responsible for loading the listener until then here ',positive
'could this some other type internal error that want handle differently dont think tfm ',positive
'fig was created the code above then must look for the old style constructor that should have fallen into disuse now figobject rectangle diagramsettings all these constructors should have been deprecated least and replaced with the new signature this here for paranoia only until all figs have been reviewed ',positive
'hate this much even before start writing reinitialising global place where noone will see just feels wrong well here goes ',positive
'this carried over from previous implementation not sure why dont want contents package tfm ',positive
'needed ',positive
'the next lines fix the half issue there better way ',positive
'check labels etc have been hit apparently gef does require pathitems annotations which ours arent until that resolved ',positive
'name set the empty string yuck default fix ',positive
'there shall not dependency from ',positive
'update the titlelabel mvw this overrules the icon set initiallly why need this ',positive
'this should not looking for namedelement since this not always about the name this modelelement alone ',positive
'mvw for this case had move the call setselecteditem outside the buildingmodel otherwise the combo does not update with the new selection see issue ',positive
'mvw for this case have move the call setselecteditem outside the buildingmodel otherwise the combo does not update with the new selection the same does probably apply the cases above ',positive
'needed ',positive
'work progress here allow multiple details panes with different contents bob tarling ',positive
'this can made public allow others extend their own persisters ',positive
'since this hopefully temporary solution and nobody ever looks the type notation event can simplify from sending every existing event one event only but since there catchall event defined just make one rationale reduce the number total refreshes the drawing ',positive
'how much control should critics have over when they are relavant does doing that code instead declaratively limit reasoning how does using more semantically rich method calls impact componentization ',positive
'andreas this just temporary for the uml prealpha versions ',positive
'this checks the order addition the contents that really what want here tfm ',positive
'this should moved action ',positive
'dont implement deprecated method interface ',positive
'near clone this code works fine outside argouml but throws null pointer exception during the transform when run within argouml think its something with the class libraries being used but cant figure out what ive done simpler less efficient stepwise translation below serialtransform ',positive
'this causes problems can make multiple return messages refer the same activator even not returning the same classifier role the activator emenates from not sure that changing the activator one message should amend any other messages but this certainly changing too many bob ',positive
'not needed ',positive
'the following debug line now the single most memory consuming line the whole argouml allocates approximately all memory allocated suggestions for solutions check there string method that can used instead use two calls for now linus just comment out logloglevelfine applying critic headline ',positive
'werent given system attempt use the url for the jar that were loaded from why tfm ',positive
'unused currently stringbuffer taggedvaluessb ',positive
'empty implementation ',positive
'apparently this method never called ',positive
'its jar clean and make look like file url ',positive
'need extend the that can replace the above deprecated call with something like this ',positive
'ignored shouldnt have been the project the place ',positive
'how handle empty target lists probably the tabtext should only show empty pane that case ',positive
'empty implementation not used ',positive
'dont know what otherwise ',positive
'have connection ends ',positive
'additional cleanup needed because this would not removed extdestroy ',positive
'this may not actually make any difference present the code behind addtrigger needs more work ',positive
